n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.010269632706275353,0,88577.55299901684,360p,1,JPEG,host,192.168.1.9,0.0102692750784067,192.168.1.9,0.003141146439772386,176288,1.0,0.2525,1.0,0.0034726934251961654,host,192.168.1.9,3.5762786865234375e-07,192.168.1.9,0.002295365700354943,617,1.0,0.0,1.0,0.0063881453202398976
2,50.0,0.010014488146855282,0,88577.55299901684,360p,1,JPEG,host,192.168.1.9,0.010014167198768029,192.168.1.9,0.003037681946387658,174392,1.0,0.2495,1.0,0.0036675539781129847,host,192.168.1.9,3.209480872521034e-07,192.168.1.9,0.002143456385685847,617,1.0,0.0,1.0,0.006395104625701211
3,75.0,0.0099486571091872,0,88577.55299901684,360p,1,JPEG,host,192.168.1.9,0.009948317821209248,192.168.1.9,0.0029110725109393765,172591,1.0,0.251,1.0,0.003668051071360221,host,192.168.1.9,3.3928797795222357e-07,192.168.1.9,0.0022673056675837594,630,1.0,15.902000000000001,1.0,0.006395601718948449
4,100.0,0.010028215555044321,0,88577.55299901684,360p,1,JPEG,host,192.168.1.9,0.010027729547940768,192.168.1.9,0.0037217231897207406,171391,1.0,0.25875,1.0,0.003668051071360221,host,192.168.1.9,4.860071035531851e-07,192.168.1.9,0.002470667545612042,617,1.0,0.0,1.0,0.006395601718948449
5,125.0,0.009995176241948055,0,88577.55299901684,360p,1,JPEG,host,192.168.1.9,0.009994846123915452,192.168.1.9,0.0030674750988300033,181549,1.0,0.25,1.0,0.0036695423511019314,host,192.168.1.9,3.3011803260216345e-07,192.168.1.9,0.0025281264231755184,614,1.0,0.0,1.0,0.006395601718948449
6,150.0,0.010060805540818434,0,88577.55299901684,360p,1,JPEG,host,192.168.1.9,0.010060447912949782,192.168.1.9,0.003019195336561937,196636,1.0,0.24825,1.0,0.0036695423511019314,host,192.168.1.9,3.5762786865234375e-07,192.168.1.9,0.0022988227697519157,617,1.0,0.0,1.0,0.006395601718948449
7,175.0,0.009930830735426683,0,105660.89305698987,360p,1,JPEG,host,192.168.1.9,0.00993050061739408,192.168.1.9,0.00301812245295598,221626,1.0,0.2515,1.0,0.0036695423511019314,host,192.168.1.9,3.3011803260216345e-07,192.168.1.9,0.0023736953735351562,615,1.0,0.0,1.0,0.006395601718948449
8,200.0,0.010001659393310547,0,105660.89305698987,360p,1,JPEG,host,192.168.1.9,0.010001475994403545,192.168.1.9,0.0035172150685237012,221219,1.0,0.24975000000000003,1.0,0.0036695423511019314,cloud,114.212.81.11,1.8339890700120193e-07,114.212.81.11,0.002107528539804312,630,1.0,0.0,1.0,0.00021163097193495201
9,225.0,0.01087329020866981,2,105660.89305698987,360p,1,JPEG,host,192.168.1.9,0.009943732848534217,192.168.1.9,0.0030759939780602083,188737,1.0,0.25125,1.0,0.0036695423511019314,cloud,114.212.81.11,0.0009295573601355919,114.212.81.11,0.00227049680856558,18217,1.0,0.6449166666666667,1.0,0.0002482524105436443
10,250.0,0.010340222945580116,1,105660.89305698987,360p,1,JPEG,host,192.168.1.9,0.010009077879098745,192.168.1.9,0.003134709138136644,228866,1.0,0.2495,1.0,0.003741123778704028,cloud,114.212.81.11,0.0003311450664813702,114.212.81.11,0.002205371856689453,8025,1.0,0.6449791666666667,1.0,0.00024860118614944133
11,275.0,0.010473223832937388,1,105660.89305698987,360p,1,JPEG,host,192.168.1.9,0.010153238589947041,192.168.1.9,0.00393232015463022,230393,1.0,0.24600000000000002,1.0,0.003741123778704028,cloud,114.212.81.11,0.00031998524299034703,114.212.81.11,0.002326827782850999,7560,1.0,0.715125,1.0,0.0002445826846043882
12,300.0,0.010223003534170298,1,84278.32570867444,360p,1,JPEG,host,192.168.1.9,0.009955772986778846,192.168.1.9,0.003242694414578952,228300,1.0,0.25075,1.0,0.003741620871951265,cloud,114.212.81.11,0.0002672305473914513,114.212.81.11,0.002205720314612755,7221,1.0,0.7077708333333333,1.0,0.0002448708035830901
13,325.0,0.010474039958073543,2,84278.32570867444,360p,1,JPEG,host,192.168.1.9,0.009917928622319149,192.168.1.9,0.0031308761009803173,244737,1.0,0.252,1.0,0.003741620871951265,cloud,114.212.81.11,0.0005561113357543945,114.212.81.11,0.0024841657051673303,14314,1.0,0.7712083333333334,1.0,0.00024500728099405414
14,350.0,0.010636219611534705,2,84278.32570867444,360p,1,JPEG,host,192.168.1.9,0.010108204988332896,192.168.1.9,0.0031243012501643245,244015,1.0,0.24725000000000003,1.0,0.003742117965198502,cloud,114.212.81.11,0.0005280146232018104,114.212.81.11,0.002546539673438439,14919,1.0,0.7987708333333333,1.0,0.00024500728099405414
15,375.0,0.010480541449326735,1,84278.32570867444,360p,1,JPEG,host,192.168.1.9,0.01006939777961144,192.168.1.9,0.004207840332618127,252465,1.0,0.248,1.0,0.003742117965198502,cloud,114.212.81.11,0.0004111436697152945,114.212.81.11,0.0026370195242074817,15251,1.0,0.5208125,1.0,0.00024500728099405414
16,400.0,0.010619264382582445,2,84278.32570867444,360p,1,JPEG,host,192.168.1.9,0.010030498871436486,192.168.1.9,0.0032681593528160677,226713,1.0,0.249,1.0,0.003742117965198502,cloud,114.212.81.11,0.0005887655111459586,114.212.81.11,0.0026499032974243164,15759,1.0,0.663125,1.0,0.00024502244515082794
17,425.0,0.010245524919950046,1,89730.10765624743,360p,1,JPEG,host,192.168.1.9,0.009964695343604455,192.168.1.9,0.0031353235244750977,235962,1.0,0.25075,1.0,0.003742117965198502,cloud,114.212.81.11,0.00028082957634559047,114.212.81.11,0.0022861499052781327,17217,1.0,0.7038125000000001,1.0,0.00024502244515082794
18,450.0,0.008735454999483548,1,89730.10765624743,360p,1,JPEG,cloud,114.212.81.11,0.003412815240713266,114.212.81.11,0.0018132649935208834,246497,1.0,0.04689583333333333,1.0,8.962016653307298e-05,host,192.168.1.9,0.005322639758770282,192.168.1.9,0.002345461111802321,5330,1.0,0.52325,1.0,0.007165599158918226
19,475.0,0.02229009224818303,3,89730.10765624743,360p,1,JPEG,cloud,114.212.81.11,0.003459673661452073,114.212.81.11,0.001665812272291917,226202,1.0,0.0346875,1.0,9.664117111933571e-05,host,192.168.1.9,0.018830418586730957,192.168.1.9,0.0023494958877563477,24323,1.0,0.54625,1.0,0.007342067261687284
20,500.0,0.014989394408005934,2,89730.10765624743,360p,1,JPEG,cloud,114.212.81.11,0.003554536746098445,114.212.81.11,0.0021591094823984,240363,1.0,0.03377083333333333,1.0,9.705060335222792e-05,host,192.168.1.9,0.01143485766190749,192.168.1.9,0.0023845434188842773,17751,1.0,0.563,1.0,0.0073425643549345195
21,525.0,0.012487402329078088,2,94086.41529332544,360p,1,JPEG,cloud,114.212.81.11,0.004066210526686449,114.212.81.11,0.001733935796297513,242210,1.0,0.033479166666666664,1.0,9.706576750900171e-05,host,192.168.1.9,0.008421191802391639,192.168.1.9,0.0023827736194317155,14750,1.0,0.6729999999999999,1.0,0.0073425643549345195
22,550.0,0.01629222356356107,3,94086.41529332544,360p,1,JPEG,cloud,114.212.81.11,0.0037252444487351636,114.212.81.11,0.0018489177410419173,238377,1.0,0.03222916666666666,1.0,9.706576750900171e-05,host,192.168.1.9,0.012566979114825908,192.168.1.9,0.0024392696527334376,30424,1.0,0.696,1.0,0.0073425643549345195
23,575.0,0.014529769237224871,2,94086.41529332544,360p,1,JPEG,cloud,114.212.81.11,0.0040503832010122445,114.212.81.11,0.0015450257521409253,229675,1.0,0.0355625,1.0,9.723257323351334e-05,host,192.168.1.9,0.010479386036212627,192.168.1.9,0.0025180211433997526,16146,1.0,0.55025,1.0,0.007343061448181757
24,600.0,0.009211476032550518,1,94086.41529332544,360p,1,JPEG,cloud,114.212.81.11,0.00359802062694843,114.212.81.11,0.0021572388135469873,234887,1.0,0.03110416666666667,1.0,9.723257323351334e-05,host,192.168.1.9,0.005613455405602088,192.168.1.9,0.0024069455953744743,21631,1.0,0.51325,1.0,0.007343061448181757
25,625.0,0.009182544854971077,1,94086.41529332544,360p,1,JPEG,cloud,114.212.81.11,0.003926818187420185,114.212.81.11,0.001853548563443697,237908,1.0,0.03260416666666666,1.0,9.723257323351334e-05,host,192.168.1.9,0.0052557266675508935,192.168.1.9,0.002316869222200834,7771,1.0,0.58475,1.0,0.007343061448181757
26,650.0,0.0033849569467397835,1,81437.00828736328,360p,1,JPEG,cloud,114.212.81.11,0.003022469007051908,114.212.81.11,0.0016995209913987382,241324,1.0,0.034416666666666665,1.0,9.723257323351334e-05,cloud,114.212.81.11,0.0003624879396878756,114.212.81.11,0.0022435371692364034,9424,1.0,0.6560833333333332,1.0,0.00024488596773986385
