n_loop,frame_id,all_delay,proc_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25,0.008797654738793006,0.004883298507103553,1,102649.69619909693,360p,1,JPEG,cloud,114.212.81.11,0.00387265132023738,114.212.81.11,0.0015032108013446513,118329,1.0,0.043395833333333335,1.0,7.246950522192144e-05,cloud,114.212.81.11,0.0010106471868661733,114.212.81.11,0.0024111454303448014,11000,1.0,0.5514375,1.0,0.00023697027790394777
2,50,0.00812684572660006,0.004082010342524602,1,102649.69619909693,360p,1,JPEG,cloud,114.212.81.11,0.003745840145991399,114.212.81.11,0.0015471898592435392,120649,1.0,0.0341875,1.0,7.955116643527932e-05,cloud,114.212.81.11,0.0003361701965332031,114.212.81.11,0.0024976455248319185,12985,1.0,0.7317916666666666,1.0,0.0002397908110638719
3,75,0.0077528770153339095,0.004199963349562425,1,107691.47197527514,360p,1,JPEG,cloud,114.212.81.11,0.0038945399797879732,114.212.81.11,0.0012532014113206132,119557,1.0,0.034937499999999996,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.0003054233697744516,114.212.81.11,0.0022997122544508716,10756,1.0,0.8028750000000001,1.0,0.00023430138631176152
4,100,0.007814379838796763,0.003969641832204966,1,107691.47197527514,360p,1,JPEG,cloud,114.212.81.11,0.003649729948777419,114.212.81.11,0.0015166080915010893,123560,1.0,0.03289583333333333,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.0003199118834275466,114.212.81.11,0.002328129915090708,16430,1.0,0.7912291666666667,1.0,0.00023430138631176152
5,125,0.007512340178856483,0.003969816061166616,1,108047.23949977075,360p,1,JPEG,cloud,114.212.81.11,0.0036695003509521484,114.212.81.11,0.0012343296637901896,125355,1.0,0.03270833333333333,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.00030031571021446813,114.212.81.11,0.002308194453899677,16273,1.0,0.7903541666666666,1.0,0.00023430138631176152
6,150,0.007844273860637959,0.004213773287259615,1,108047.23949977075,360p,1,JPEG,cloud,114.212.81.11,0.0038735316349909855,114.212.81.11,0.0013590225806603068,118637,1.0,0.0371875,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.0003402416522686298,114.212.81.11,0.0022714779927180363,10878,1.0,0.7909583333333333,1.0,0.0002345288486633683
7,175,0.007338707263653095,0.003794450026292067,1,93992.04901199414,360p,1,JPEG,cloud,114.212.81.11,0.003503304261427659,114.212.81.11,0.0012343021539541394,120633,1.0,0.034270833333333334,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.00029114576486440806,114.212.81.11,0.0023099550834068884,13084,1.0,0.7891666666666667,1.0,0.0002345288486633683
8,200,0.007634300452012282,0.004058021765488844,1,93992.04901199414,360p,1,JPEG,cloud,114.212.81.11,0.003766995209913987,114.212.81.11,0.0012693038353553186,121519,1.0,0.033979166666666664,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.0002910265555748573,114.212.81.11,0.002306974851168119,13230,1.0,0.7863958333333333,1.0,0.0002345288486633683
9,225,0.007612641041095439,0.003982443075913649,1,105002.98255002905,360p,1,JPEG,cloud,114.212.81.11,0.0036832736088679386,114.212.81.11,0.0013294403369610124,118647,1.0,0.03260416666666666,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.00029916946704571065,114.212.81.11,0.002300757628220778,11657,1.0,0.8196458333333334,1.0,0.0002345288486633683
10,250,0.008101811775794396,0.004179991208589994,1,105002.98255002905,360p,1,JPEG,cloud,114.212.81.11,0.0037959814071655273,114.212.81.11,0.0014690802647517277,126224,1.0,0.031625,1.0,7.727654291921148e-05,cloud,114.212.81.11,0.00038400980142446665,114.212.81.11,0.0024527403024526746,16597,1.0,0.7844375,1.0,0.0002345288486633683
