n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
13,13.0,0.3475764989852905,70.0,360p,5,JPEG,host,172.27.143.164,0.16171038150787354,172.27.143.164,0.046956658363342285,0,0.2,0.20850000000000002,0,0.2,0.20850000000000002,2,0.01,0.0029189315477743893,2,0.01,0.0029189315477743893,host,172.27.143.164,0.185866117477417,172.27.143.164,0.032840728759765625,0,0.2,0.242,0,0.2,0.242,0,0.006,0.007253584663679136,0,0.006,0.007253584663679136
14,15.0,0.19898152351379395,70.0,360p,5,JPEG,host,172.27.143.164,0.10686945915222168,172.27.143.164,0.025958538055419922,0,0.2,0.20850000000000002,0,0.2,0.20850000000000002,2,0.01,0.0029189315477743893,2,0.01,0.0029189315477743893,host,172.27.143.164,0.09211206436157227,172.27.143.164,0.022413651148478195,0,0.2,0.242,0,0.2,0.242,0,0.006,0.007253584663679136,0,0.006,0.007253584663679136
15,20.0,0.1069252093633016,70.0,360p,5,JPEG,host,172.27.143.164,0.05261075496673584,172.27.143.164,0.013165275255839035,0,0.2,0.21025,0,0.2,0.21025,2,0.01,0.0029189315477743893,2,0.01,0.0029189315477743893,host,172.27.143.164,0.05431445439656576,172.27.143.164,0.009917020797729485,0,0.2,0.27125,0,0.2,0.27125,0,0.006,0.007253584663679136,0,0.006,0.007253584663679136
16,25.0,0.11802430947621664,70.0,360p,5,JPEG,host,172.27.143.164,0.055989623069763184,172.27.143.164,0.012363672256469727,0,0.2,0.22149999999999997,0,0.2,0.22149999999999997,2,0.01,0.0029189315477743893,2,0.01,0.0029189315477743893,host,172.27.143.164,0.06203468640645345,172.27.143.164,0.010160366694132485,0,0.2,0.23775,0,0.2,0.23775,0,0.006,0.007253584663679136,0,0.006,0.007253584663679136
17,30.0,0.2891631523768107,69.9,360p,5,JPEG,host,172.27.143.164,0.06351077556610107,172.27.143.164,0.0159753958384196,0,0.2,0.20825,0,0.2,0.20825,2,0.01,0.0029189315477743893,2,0.01,0.0029189315477743893,host,172.27.143.164,0.22565237681070963,172.27.143.164,0.011811375617980957,0,0.2,0.255,0,0.2,0.255,0,0.006,0.007253584663679136,0,0.006,0.007253584663679136
18,35.0,0.16918798287709555,69.9,360p,5,JPEG,host,172.27.143.164,0.0661700169245402,172.27.143.164,0.013970057169596345,0,0.15,0.16975,0,0.15,0.16975,2,0.014,0.0029189315477743893,2,0.014,0.0029189315477743893,host,172.27.143.164,0.10301796595255534,172.27.143.164,0.01248780886332193,0,0.1,0.11324999999999999,0,0.1,0.11324999999999999,0,0.007,0.007271977113826897,0,0.007,0.007271977113826897
19,40.0,0.26867477099100745,69.9,360p,5,JPEG,host,172.27.143.164,0.06426513195037842,172.27.143.164,0.014346083005269364,0,0.15,0.16975,0,0.15,0.16975,2,0.014,0.0029189315477743893,2,0.014,0.0029189315477743893,host,172.27.143.164,0.20440963904062906,172.27.143.164,0.013016064961751311,0,0.1,0.11324999999999999,0,0.1,0.11324999999999999,0,0.007,0.007271977113826897,0,0.007,0.007271977113826897
20,41.0,0.18401014804840088,69.9,360p,30,JPEG,host,172.27.143.164,0.13420486450195312,172.27.143.164,0.03840494155883789,0,0.15,0.1815,0,0.15,0.1815,2,0.014,0.0029248966667412305,2,0.014,0.0029248966667412305,host,172.27.143.164,0.049805283546447754,172.27.143.164,0.03000354766845703,0,0.1,0.11199999999999999,0,0.1,0.11199999999999999,0,0.007,0.007271977113826897,0,0.007,0.007271977113826897
21,42.0,0.19772958755493164,70.1,360p,30,JPEG,host,172.27.143.164,0.13677740097045898,172.27.143.164,0.03922128677368164,0,0.25,0.25125,0,0.25,0.25125,2,0.012,0.0029248966667412305,2,0.012,0.0029248966667412305,host,172.27.143.164,0.060952186584472656,172.27.143.164,0.032564520835876465,0,0.75,0.7517499999999999,0,0.75,0.7517499999999999,2,0.008,0.007271977113826897,2,0.008,0.007271977113826897
22,43.0,0.187050461769104,70.1,360p,30,JPEG,host,172.27.143.164,0.134566068649292,172.27.143.164,0.03702282905578613,0,0.25,0.23725000000000002,0,0.25,0.23725000000000002,2,0.012,0.0029248966667412305,2,0.012,0.0029248966667412305,host,172.27.143.164,0.05248439311981201,172.27.143.164,0.029510974884033203,0,0.75,0.61425,0,0.75,0.61425,2,0.008,0.007271977113826897,2,0.008,0.007271977113826897
