n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25,0.017414102,1,48748.70632,360p,1,JPEG,host,192.168.1.9,0.010489436,192.168.1.9,0.003081652,118328,1,0.24725,1,0.003454301,host,192.168.1.9,0.006924666,192.168.1.9,0.002915483,10991,1,0.40175,1,0.007133785
2,50,0.017224055,1,48748.70632,360p,1,JPEG,host,192.168.1.9,0.010329366,192.168.1.9,0.002924296,120658,1,0.24175,1,0.003696385,host,192.168.1.9,0.006894689,192.168.1.9,0.002308791,12977,1,0.5015,1,0.007242649
3,75,0.014879649,1,48748.70632,360p,1,JPEG,host,192.168.1.9,0.009956983,192.168.1.9,0.002771414,119542,1,0.251,1,0.003700859,host,192.168.1.9,0.004922665,192.168.1.9,0.002289836,10721,1,0.546,1,0.007243146
4,100,0.013995748,1,74698.41248,360p,1,JPEG,host,192.168.1.9,0.009954755,192.168.1.9,0.003023652,123545,1,0.251,1,0.003700859,host,192.168.1.9,0.004040993,192.168.1.9,0.002253752,16398,1,0.7115,1,0.007243146
5,125,0.022761913,1,74698.41248,360p,1,JPEG,host,192.168.1.9,0.014828746,192.168.1.9,0.003099597,125353,1,0.16825,1,0.003700859,host,192.168.1.9,0.007933167,192.168.1.9,0.002518507,16253,1,0.47225,1,0.007243146
6,150,0.015291232,1,74698.41248,360p,1,JPEG,host,192.168.1.9,0.01000221,192.168.1.9,0.002899738,118646,1,0.24975,1,0.003700859,host,192.168.1.9,0.005289023,192.168.1.9,0.002384782,10871,1,0.57875,1,0.007243146
7,175,0.01460543,1,73321.55051,360p,1,JPEG,host,192.168.1.9,0.009921697,192.168.1.9,0.002784032,120631,1,0.25175,1,0.003700859,host,192.168.1.9,0.004683733,192.168.1.9,0.002227636,13064,1,0.5535,1,0.007243146
8,200,0.015336321,1,73321.55051,360p,1,JPEG,host,192.168.1.9,0.009964695,192.168.1.9,0.003783299,121505,1,0.26025,1,0.003700859,host,192.168.1.9,0.005371626,192.168.1.9,0.002423378,13210,1,0.572,1,0.007243146
9,225,0.015655426,1,73321.55051,360p,1,JPEG,host,192.168.1.9,0.010007427,192.168.1.9,0.002815357,118634,1,0.2495,1,0.003700859,host,192.168.1.9,0.005647999,192.168.1.9,0.002322124,11624,1,0.493,1,0.007243146
10,250,0.014423801,1,58235.7749,360p,1,JPEG,host,192.168.1.9,0.010014855,192.168.1.9,0.003445983,126235,1,0.23975,1,0.003700859,host,192.168.1.9,0.004408946,192.168.1.9,0.002352604,16601,1,0.67475,1,0.007243146
