n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.06714113859029916,0,56352.093477005736,810p,1,JPEG,host,192.168.1.9,0.06714072594275841,192.168.1.9,0.006318862621600807,728907,1.0,0.24625,1.0,0.0078038668883702545,host,192.168.1.9,4.1264754075270434e-07,192.168.1.9,0.002447843551635742,615,1.0,0.0,1.0,0.006357325538911216
2,50.0,0.06605030023134673,0,75789.88874416187,810p,1,JPEG,host,192.168.1.9,0.06604995177342342,192.168.1.9,0.009662004617544323,723503,1.0,0.249,1.0,0.008970544739634984,host,192.168.1.9,3.4845792330228363e-07,192.168.1.9,0.0021422642927903393,611,1.0,0.0,1.0,0.006364781937619768
3,75.0,0.06636510445521428,0,75789.88874416187,810p,1,JPEG,host,192.168.1.9,0.06636471931750958,192.168.1.9,0.005588797422555775,713508,1.0,0.24925,1.0,0.00897104183288222,host,192.168.1.9,3.8513770470252405e-07,192.168.1.9,0.0026500500165499174,612,1.0,0.0,1.0,0.006365279030867005
4,100.0,0.06584765360905574,0,75112.8158329646,810p,1,JPEG,host,192.168.1.9,0.06584732349102314,192.168.1.9,0.008024866764362037,713314,1.0,0.24825,1.0,0.00897104183288222,host,192.168.1.9,3.3011803260216345e-07,192.168.1.9,0.0021414940173809347,611,1.0,0.0,1.0,0.006365279030867005
5,125.0,0.06712598984058087,0,75112.8158329646,810p,1,JPEG,host,192.168.1.9,0.06712562304276687,192.168.1.9,0.006308234654940084,748700,1.0,0.24775,1.0,0.00897104183288222,host,192.168.1.9,3.6679781400240387e-07,192.168.1.9,0.0024187564849853516,610,1.0,0.0,1.0,0.006365279030867005
6,150.0,0.07084319224724403,1,60027.81649487415,810p,1,JPEG,host,192.168.1.9,0.0653454065322876,192.168.1.9,0.008284642146183893,805116,1.0,0.24850000000000003,1.0,0.00897104183288222,host,192.168.1.9,0.005497785714956431,192.168.1.9,0.002343617952786958,7367,1.0,0.524,1.0,0.00711539274094731
7,175.0,0.06978421944838303,1,60027.81649487415,810p,1,JPEG,host,192.168.1.9,0.06890152050898625,192.168.1.9,0.006574539037851185,908697,1.0,0.24,1.0,0.0077516720974103925,cloud,114.212.81.11,0.0008826989393967849,114.212.81.11,0.0023614534964928264,11196,1.0,0.5951875000000001,1.0,0.00023095010766475485
8,200.0,0.06628373953012319,2,72461.10347347205,810p,1,JPEG,host,192.168.1.9,0.06573684398944561,192.168.1.9,0.008132466903099642,900938,1.0,0.25,1.0,0.007754654656893813,cloud,114.212.81.11,0.0005468955406775841,114.212.81.11,0.00251615047454834,13206,1.0,0.7407916666666666,1.0,0.00023689445712007888
9,225.0,0.06725856891045204,4,78965.48844584424,810p,1,JPEG,host,192.168.1.9,0.06633502703446609,192.168.1.9,0.006494292846092806,744832,1.0,0.24925,1.0,0.007755151750141051,cloud,114.212.81.11,0.0009235418759859526,114.212.81.11,0.0025377640357384314,61189,1.0,0.7266875,1.0,0.00023707642700136424
10,250.0,0.07896634248586801,3,78965.48844584424,810p,1,JPEG,host,192.168.1.9,0.07834000770862286,192.168.1.9,0.006945610046386719,932633,1.0,0.21225000000000002,1.0,0.00783070992372104,cloud,114.212.81.11,0.0006263347772451547,114.212.81.11,0.0027465453514686,41793,1.0,0.7623333333333333,1.0,0.00023938137883097968
11,275.0,0.06654307475456823,3,66565.20602767578,810p,1,JPEG,host,192.168.1.9,0.065819107569181,192.168.1.9,0.00680341170384334,934026,1.0,0.24975000000000003,1.0,0.007836177949440646,cloud,114.212.81.11,0.0007239671853872446,114.212.81.11,0.0023860931396484375,38525,1.0,0.7917916666666667,1.0,0.00023938137883097968
12,300.0,0.069472808104295,3,75976.91878633118,810p,1,JPEG,host,192.168.1.9,0.06884927933032696,192.168.1.9,0.006710190039414629,914000,1.0,0.24025,1.0,0.007836177949440646,cloud,114.212.81.11,0.0006235287739680364,114.212.81.11,0.0025247152035052962,33463,1.0,0.8048333333333333,1.0,0.00023939654298775348
13,325.0,0.03522246617537279,3,75976.91878633118,810p,1,JPEG,cloud,114.212.81.11,0.022272091645460863,114.212.81.11,0.004971944368802585,960599,1.0,0.024812499999999998,1.0,0.0001994238257320546,host,192.168.1.9,0.012950374529911922,192.168.1.9,0.002652599261357233,41005,1.0,0.6455,1.0,0.007315721319583734
14,350.0,0.03384435176849365,2,75976.91878633118,810p,1,JPEG,cloud,114.212.81.11,0.0213698515525231,114.212.81.11,0.006350104625408467,958665,1.0,0.021750000000000002,1.0,0.00024198961379607084,host,192.168.1.9,0.012474500215970553,192.168.1.9,0.002533243252680851,29190,1.0,0.48524999999999996,1.0,0.007316218412830972
