n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
1,1.0,0.18538296222686768,70.2,360p,30,JPEG,host,172.27.143.164,0.13913238048553467,172.27.143.164,0.04489612579345703,0,0.25,0.24225000000000002,0,0.25,0.24225000000000002,0,0.004,0.002683309348584154,0,0.004,0.002683309348584154,host,172.27.143.164,0.04625058174133301,172.27.143.164,0.03180694580078125,0,0.75,0.80375,0,0.75,0.80375,2,0.008,0.007139253216814676,2,0.008,0.007139253216814676
2,2.0,0.19145894050598145,70.2,360p,30,JPEG,host,172.27.143.164,0.13371539115905762,172.27.143.164,0.04012417793273926,0,0.25,0.25225000000000003,0,0.25,0.25225000000000003,0,0.004,0.002922908293752283,0,0.004,0.002922908293752283,host,172.27.143.164,0.05774354934692383,172.27.143.164,0.03202378749847412,0,0.75,0.62575,0,0.75,0.62575,2,0.008,0.0072491108244540055,2,0.008,0.0072491108244540055
3,3.0,0.17857861518859863,70.2,360p,30,JPEG,host,172.27.143.164,0.13355660438537598,172.27.143.164,0.03696548938751221,0,0.25,0.24325,0,0.25,0.24325,0,0.004,0.002922908293752283,0,0.004,0.002922908293752283,host,172.27.143.164,0.045022010803222656,172.27.143.164,0.031127095222473145,0,0.75,0.85875,0,0.75,0.85875,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
4,4.0,0.20437121391296387,70.2,360p,30,JPEG,host,172.27.143.164,0.13385415077209473,172.27.143.164,0.04358386993408203,0,0.25,0.2425,0,0.25,0.2425,0,0.004,0.002924399573493994,0,0.004,0.002924399573493994,host,172.27.143.164,0.07051706314086914,172.27.143.164,0.03737497329711914,0,0.75,0.51325,0,0.75,0.51325,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
5,5.0,0.24661672115325928,70.8,360p,30,JPEG,host,172.27.143.164,0.19016635417938232,172.27.143.164,0.039417386054992676,0,0.25,0.18375,0,0.25,0.18375,0,0.004,0.002924399573493994,0,0.004,0.002924399573493994,host,172.27.143.164,0.05645036697387695,172.27.143.164,0.03283512592315674,0,0.75,0.68525,0,0.75,0.68525,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
6,6.0,0.1781226396560669,70.8,360p,30,JPEG,host,172.27.143.164,0.1377791166305542,172.27.143.164,0.039047956466674805,0,0.25,0.18375,0,0.25,0.18375,0,0.004,0.002924399573493994,0,0.004,0.002924399573493994,host,172.27.143.164,0.040343523025512695,172.27.143.164,0.03203856945037842,0,0.75,0.68525,0,0.75,0.68525,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
7,7.0,0.1984412670135498,70.8,360p,30,JPEG,host,172.27.143.164,0.13450896739959717,172.27.143.164,0.04373347759246826,0,0.25,0.24125,0,0.25,0.24125,0,0.004,0.002927879226224651,0,0.004,0.002927879226224651,host,172.27.143.164,0.06393229961395264,172.27.143.164,0.03007817268371582,0,0.75,0.58575,0,0.75,0.58575,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
8,8.0,0.1957484483718872,70.8,360p,30,JPEG,host,172.27.143.164,0.13390123844146729,172.27.143.164,0.04035615921020508,0,0.25,0.25175000000000003,0,0.25,0.25175000000000003,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.06184720993041992,172.27.143.164,0.03204512596130371,0,0.75,0.62525,0,0.75,0.62525,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
9,9.0,0.17556476593017578,70.8,360p,30,JPEG,host,172.27.143.164,0.13457155227661133,172.27.143.164,0.039827704429626465,0,0.25,0.25175000000000003,0,0.25,0.25175000000000003,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.04099321365356445,172.27.143.164,0.03261375427246094,0,0.75,0.62525,0,0.75,0.62525,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
10,10.0,0.17557978630065918,70.8,360p,30,JPEG,host,172.27.143.164,0.13333773612976074,172.27.143.164,0.04318821430206299,0,0.25,0.253,0,0.25,0.253,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.04224205017089844,172.27.143.164,0.03176438808441162,0,0.75,0.856,0,0.75,0.856,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
11,11.0,0.19140827655792236,70.8,360p,30,JPEG,host,172.27.143.164,0.14119350910186768,172.27.143.164,0.04104804992675781,0,0.25,0.23,0,0.25,0.23,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.05021476745605469,172.27.143.164,0.03353619575500488,0,0.75,0.7447499999999999,0,0.75,0.7447499999999999,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
12,12.0,0.19686758518218994,70.8,360p,30,JPEG,host,172.27.143.164,0.1354149580001831,172.27.143.164,0.04012596607208252,0,0.25,0.23,0,0.25,0.23,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.061452627182006836,172.27.143.164,0.03243851661682129,0,0.75,0.7447499999999999,0,0.75,0.7447499999999999,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
13,13.0,0.1751784086227417,70.8,360p,30,JPEG,host,172.27.143.164,0.1357184648513794,172.27.143.164,0.03946280479431152,0,0.25,0.23925000000000002,0,0.25,0.23925000000000002,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.039459943771362305,172.27.143.164,0.03105330467224121,0,0.75,0.9157500000000001,0,0.75,0.9157500000000001,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
14,14.0,0.17798316478729248,70.8,360p,30,JPEG,host,172.27.143.164,0.1354222297668457,172.27.143.164,0.0383526086807251,0,0.25,0.23925000000000002,0,0.25,0.23925000000000002,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.04256093502044678,172.27.143.164,0.032428860664367676,0,0.75,0.9157500000000001,0,0.75,0.9157500000000001,2,0.008,0.007249607917701242,2,0.008,0.007249607917701242
15,15.0,0.19729161262512207,70.8,360p,30,JPEG,host,172.27.143.164,0.13410210609436035,172.27.143.164,0.043921828269958496,0,0.25,0.249,0,0.25,0.249,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.06318950653076172,172.27.143.164,0.030568957328796387,0,0.75,0.90825,0,0.75,0.90825,2,0.008,0.007250105010948479,2,0.008,0.007250105010948479
16,16.0,0.2254725694656372,70.8,360p,30,JPEG,host,172.27.143.164,0.13616526126861572,172.27.143.164,0.03798675537109375,0,0.25,0.25125,0,0.25,0.25125,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.08930730819702148,172.27.143.164,0.042830586433410645,0,0.75,0.5925,0,0.75,0.5925,2,0.008,0.0072506021041957155,2,0.008,0.0072506021041957155
17,17.0,0.18195903301239014,70.8,360p,30,JPEG,host,172.27.143.164,0.13454151153564453,172.27.143.164,0.04036355018615723,0,0.25,0.26,0,0.25,0.26,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.047417521476745605,172.27.143.164,0.032662272453308105,0,0.75,0.789,0,0.75,0.789,2,0.008,0.0072506021041957155,2,0.008,0.0072506021041957155
18,18.0,0.1729036569595337,70.8,360p,30,JPEG,host,172.27.143.164,0.1334325075149536,172.27.143.164,0.044588685035705566,0,0.25,0.262,0,0.25,0.262,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.03947114944458008,172.27.143.164,0.03191113471984863,0,0.75,0.9159999999999999,0,0.75,0.9159999999999999,2,0.008,0.0072506021041957155,2,0.008,0.0072506021041957155
19,19.0,0.19554805755615234,70.8,360p,30,JPEG,host,172.27.143.164,0.13332045078277588,172.27.143.164,0.045473694801330566,0,0.25,0.253,0,0.25,0.253,0,0.004,0.002928376319471888,0,0.004,0.002928376319471888,host,172.27.143.164,0.062227606773376465,172.27.143.164,0.03135871887207031,0,0.75,0.621,0,0.75,0.621,2,0.008,0.0072506021041957155,2,0.008,0.0072506021041957155
