n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25,0.055040075,0,102578.3507,720p,1,JPEG,host,192.168.1.9,0.055039736,192.168.1.9,0.005787189,599450,1,0.23925,1,0.006723186,host,192.168.1.9,3.39E-07,192.168.1.9,0.002293046,623,1,0,1,0.006372238
2,50,0.052078843,0,102578.3507,720p,1,JPEG,host,192.168.1.9,0.052078495,192.168.1.9,0.005362538,598941,1,0.24925,1,0.007648774,host,192.168.1.9,3.48E-07,192.168.1.9,0.002304398,612,1,0,1,0.006379198
3,75,0.051796455,0,110455.863,720p,1,JPEG,host,192.168.1.9,0.051796125,192.168.1.9,0.004946984,588388,1,0.24875,1,0.007649271,host,192.168.1.9,3.30E-07,192.168.1.9,0.002136964,611,1,0,1,0.006379695
4,100,0.05213433,0,110455.863,720p,1,JPEG,host,192.168.1.9,0.052133964,192.168.1.9,0.005188208,588918,1,0.249,1,0.007649271,host,192.168.1.9,3.67E-07,192.168.1.9,0.003070364,608,1,0,1,0.006379695
5,125,0.05141051,0,109025.8252,720p,1,JPEG,host,192.168.1.9,0.051410152,192.168.1.9,0.005381731,616443,1,0.24875,1,0.007649271,host,192.168.1.9,3.58E-07,192.168.1.9,0.002298731,613,1,0,1,0.006379695
6,150,0.063611773,1,109025.8252,720p,1,JPEG,host,192.168.1.9,0.056097975,192.168.1.9,0.00533623,668887,1,0.233,1,0.007649271,host,192.168.1.9,0.007513798,192.168.1.9,0.002319052,7502,1,0.447,1,0.007141739
7,175,0.057693922,1,111906.9184,720p,1,JPEG,host,192.168.1.9,0.052128957,192.168.1.9,0.006079206,751548,1,0.24525,1,0.007908256,host,192.168.1.9,0.005564965,192.168.1.9,0.002253175,8700,1,0.5005,1,0.007243146
8,200,0.052908301,1,111906.9184,720p,1,JPEG,host,192.168.1.9,0.052131424,192.168.1.9,0.006252491,739924,1,0.249,1,0.007909748,cloud,114.212.81.11,0.000776878,114.212.81.11,0.002423782,5483,1,0.563166667,1,0.000238532
9,225,0.053364259,4,109416.2678,720p,1,JPEG,host,192.168.1.9,0.052489272,192.168.1.9,0.005613529,618885,1,0.2435,1,0.007909748,cloud,114.212.81.11,0.000874987,114.212.81.11,0.002587144,53500,1,0.79275,1,0.000244492
10,250,0.053514655,4,109416.2678,720p,1,JPEG,host,192.168.1.9,0.052654972,192.168.1.9,0.005941914,780335,1,0.2465,1,0.007972381,cloud,114.212.81.11,0.000859682,114.212.81.11,0.002974739,40485,1,0.815979167,1,0.000244507
