n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
1,1.0,0.20728600025177002,69.6,360p,30,JPEG,host,172.27.143.164,0.14139139652252197,172.27.143.164,0.03986549377441406,0,0.25,0.247,0,0.25,0.247,0,0.004,0.002702695985226389,0,0.004,0.002702695985226389,host,172.27.143.164,0.06589460372924805,172.27.143.164,0.03787541389465332,0,0.75,0.58575,0,0.75,0.58575,2,0.008,0.00712483751264481,2,0.008,0.00712483751264481
2,2.0,0.17922604084014893,69.6,360p,30,JPEG,host,172.27.143.164,0.1360245943069458,172.27.143.164,0.0418705940246582,0,0.25,0.247,0,0.25,0.247,0,0.004,0.002702695985226389,0,0.004,0.002702695985226389,host,172.27.143.164,0.043201446533203125,172.27.143.164,0.03301262855529785,0,0.75,0.58575,0,0.75,0.58575,2,0.008,0.00712483751264481,2,0.008,0.00712483751264481
3,3.0,0.18630599975585938,69.6,360p,30,JPEG,host,172.27.143.164,0.13431990146636963,172.27.143.164,0.03884780406951904,0,0.25,0.23875,0,0.25,0.23875,0,0.004,0.002948260049361359,0,0.004,0.002948260049361359,host,172.27.143.164,0.051986098289489746,172.27.143.164,0.03084123134613037,0,0.75,0.8372499999999999,0,0.75,0.8372499999999999,2,0.008,0.00723469512028414,2,0.008,0.00723469512028414
4,4.0,0.17672502994537354,69.9,360p,30,JPEG,host,172.27.143.164,0.13467848300933838,172.27.143.164,0.038437604904174805,0,0.25,0.24175000000000002,0,0.25,0.24175000000000002,0,0.004,0.002948260049361359,0,0.004,0.002948260049361359,host,172.27.143.164,0.042046546936035156,172.27.143.164,0.03429746627807617,0,0.75,0.695,0,0.75,0.695,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
5,5.0,0.1919928789138794,69.9,360p,30,JPEG,host,172.27.143.164,0.1348741054534912,172.27.143.164,0.037785887718200684,0,0.25,0.2505,0,0.25,0.2505,0,0.004,0.002948260049361359,0,0.004,0.002948260049361359,host,172.27.143.164,0.057118773460388184,172.27.143.164,0.046740174293518066,0,0.75,0.91925,0,0.75,0.91925,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
6,6.0,0.18458735942840576,69.9,360p,30,JPEG,host,172.27.143.164,0.13298380374908447,172.27.143.164,0.039385318756103516,0,0.25,0.24975000000000003,0,0.25,0.24975000000000003,0,0.004,0.00294975132910307,0,0.004,0.00294975132910307,host,172.27.143.164,0.05160355567932129,172.27.143.164,0.03290832042694092,0,0.75,0.6335000000000001,0,0.75,0.6335000000000001,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
7,7.0,0.19731473922729492,69.9,360p,30,JPEG,host,172.27.143.164,0.1356184482574463,172.27.143.164,0.04409444332122803,0,0.25,0.2535,0,0.25,0.2535,0,0.004,0.002953230981833728,0,0.004,0.002953230981833728,host,172.27.143.164,0.06169629096984863,172.27.143.164,0.03248894214630127,0,0.75,0.725,0,0.75,0.725,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
8,8.0,0.23287951946258545,70.2,360p,20,JPEG,host,172.27.143.164,0.16163504123687744,172.27.143.164,0.04291737079620361,0,0.25,0.24850000000000003,0,0.25,0.24850000000000003,0,0.004,0.002953230981833728,0,0.004,0.002953230981833728,host,172.27.143.164,0.07124447822570801,172.27.143.164,0.0381779670715332,0,0.75,0.62725,0,0.75,0.62725,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
9,9.0,0.2365407943725586,70.2,360p,20,JPEG,host,172.27.143.164,0.1629236936569214,172.27.143.164,0.042009830474853516,0,0.2,0.2165,0,0.2,0.2165,2,0.01,0.002953728075080964,2,0.01,0.002953728075080964,host,172.27.143.164,0.07361710071563721,172.27.143.164,0.03501403331756592,0,0.4,0.52575,0,0.4,0.52575,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
10,10.0,0.19762861728668213,70.2,360p,20,JPEG,host,172.27.143.164,0.15810275077819824,172.27.143.164,0.03700554370880127,0,0.2,0.207,0,0.2,0.207,2,0.01,0.002953728075080964,2,0.01,0.002953728075080964,host,172.27.143.164,0.03952586650848389,172.27.143.164,0.031063318252563477,0,0.4,0.5255,0,0.4,0.5255,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
11,12.0,0.15057269732157388,70.2,360p,20,JPEG,host,172.27.143.164,0.1008150577545166,172.27.143.164,0.027138551076253264,0,0.2,0.22125,0,0.2,0.22125,2,0.01,0.002953728075080964,2,0.01,0.002953728075080964,host,172.27.143.164,0.04975763956705729,172.27.143.164,0.021766185760498054,0,0.4,0.91325,0,0.4,0.91325,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
12,13.0,0.21858906745910645,70.2,360p,20,JPEG,host,172.27.143.164,0.1611272096633911,172.27.143.164,0.04059720039367676,0,0.2,0.20149999999999998,0,0.2,0.20149999999999998,2,0.01,0.002953728075080964,2,0.01,0.002953728075080964,host,172.27.143.164,0.05746185779571533,172.27.143.164,0.034104228019714355,0,0.4,0.56475,0,0.4,0.56475,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
13,14.0,0.28711235523223877,70.2,360p,20,JPEG,host,172.27.143.164,0.21206176280975342,172.27.143.164,0.03818023204803467,0,0.2,0.20149999999999998,0,0.2,0.20149999999999998,2,0.01,0.002953728075080964,2,0.01,0.002953728075080964,host,172.27.143.164,0.07505059242248535,172.27.143.164,0.03278779983520508,0,0.4,0.56475,0,0.4,0.56475,2,0.008,0.007235192213531375,2,0.008,0.007235192213531375
14,15.0,0.268180251121521,70.3,360p,20,JPEG,host,172.27.143.164,0.19405102729797363,172.27.143.164,0.03729259967803955,0,0.15,0.165,0,0.15,0.165,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.07412922382354736,172.27.143.164,0.03634762763977051,0,0.35,0.532,0,0.35,0.532,0,0.003,0.007235192213531375,0,0.003,0.007235192213531375
15,17.0,0.19157973925272623,70.3,360p,20,JPEG,host,172.27.143.164,0.14301578203837076,172.27.143.164,0.02563373247782391,0,0.15,0.17375,0,0.15,0.17375,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.04856395721435547,172.27.143.164,0.04446061452229817,0,0.35,0.522,0,0.35,0.522,0,0.003,0.007235192213531375,0,0.003,0.007235192213531375
16,18.0,0.29236555099487305,70.3,360p,20,JPEG,host,172.27.143.164,0.21910452842712402,172.27.143.164,0.0427546501159668,0,0.15,0.16524999999999998,0,0.15,0.16524999999999998,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.07326102256774902,172.27.143.164,0.034548401832580566,0,0.35,0.52825,0,0.35,0.52825,0,0.003,0.007235192213531375,0,0.003,0.007235192213531375
17,19.0,0.28948068618774414,70.2,360p,20,JPEG,host,172.27.143.164,0.2198258638381958,172.27.143.164,0.041474223136901855,0,0.15,0.16524999999999998,0,0.15,0.16524999999999998,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.06965482234954834,172.27.143.164,0.034159064292907715,0,0.35,0.52825,0,0.35,0.52825,0,0.003,0.007235192213531375,0,0.003,0.007235192213531375
18,20.0,0.24691390991210938,70.2,360p,20,JPEG,host,172.27.143.164,0.19004583358764648,172.27.143.164,0.06872403621673584,0,0.15,0.171,0,0.15,0.171,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.05686807632446289,172.27.143.164,0.03157532215118408,0,0.45,0.63625,0,0.45,0.63625,0,0.006,0.007235192213531375,0,0.006,0.007235192213531375
19,22.0,0.1610074838002523,70.2,360p,20,JPEG,host,172.27.143.164,0.13362979888916016,172.27.143.164,0.025598684946695954,0,0.15,0.171,0,0.15,0.171,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.02737768491109212,172.27.143.164,0.03918290138244629,0,0.45,0.63625,0,0.45,0.63625,0,0.006,0.007235192213531375,0,0.006,0.007235192213531375
20,23.0,0.28281962871551514,70.2,360p,20,JPEG,host,172.27.143.164,0.22667455673217773,172.27.143.164,0.038005709648132324,0,0.15,0.18075,0,0.15,0.18075,0,0.004,0.002953728075080964,0,0.004,0.002953728075080964,host,172.27.143.164,0.0561450719833374,172.27.143.164,0.03246116638183594,0,0.45,0.91125,0,0.45,0.91125,0,0.006,0.007235192213531375,0,0.006,0.007235192213531375
