n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.014112765972430889,1,82317.404913573,360p,1,JPEG,host,192.168.1.9,0.010336628327002892,192.168.1.9,0.0031421001140887923,118313,0.55,0.26,1.0,0.0034657341197348503,host,192.168.1.9,0.0037761376454279972,192.168.1.9,0.0023660292992225057,10988,0.55,0.7865000000000001,1.0,0.007121357859914152
2,50.0,0.02364192559168889,1,82317.404913573,360p,1,JPEG,host,192.168.1.9,0.016756516236525316,192.168.1.9,0.0041343982403094955,120644,0.55,0.149,1.0,0.003687934801249693,host,192.168.1.9,0.006885409355163574,192.168.1.9,0.0023260666773869433,12977,0.55,0.47424999999999995,1.0,0.007231215467553481
3,75.0,0.014522314071655273,1,82317.404913573,360p,1,JPEG,host,192.168.1.9,0.010019705845759464,192.168.1.9,0.0030085398600651677,119545,0.55,0.24925,1.0,0.0036909173607331132,host,192.168.1.9,0.004502608225895808,192.168.1.9,0.0023158880380483773,10739,0.55,0.6822499999999999,1.0,0.007231712560800718
4,100.0,0.013146693889911357,1,110454.46819141589,360p,1,JPEG,host,192.168.1.9,0.010004630455603966,192.168.1.9,0.0037350196104783285,123560,0.55,0.24975000000000003,1.0,0.0036909173607331132,host,192.168.1.9,0.0031420634343073918,192.168.1.9,0.0023842224707970256,16415,0.55,0.94525,1.0,0.007231712560800718
5,125.0,0.015442600617041953,1,110454.46819141589,360p,1,JPEG,host,192.168.1.9,0.009998715840853177,192.168.1.9,0.0029586645273061898,125355,0.55,0.24975000000000003,1.0,0.0036924086404748237,host,192.168.1.9,0.005443884776188777,192.168.1.9,0.002389880327078012,16255,0.55,0.5115,1.0,0.007231712560800718
6,150.0,0.015410854266240047,1,110454.46819141589,360p,1,JPEG,host,192.168.1.9,0.010092698610745944,192.168.1.9,0.004197111496558556,118648,0.55,0.23800000000000002,1.0,0.0036924086404748237,host,192.168.1.9,0.005318155655494103,192.168.1.9,0.0033150086036095247,10873,0.55,0.57775,1.0,0.007231712560800718
7,175.0,0.015010732870835524,1,109037.51896505164,360p,1,JPEG,host,192.168.1.9,0.010038293324984036,192.168.1.9,0.0028510093688964844,120621,0.55,0.24875,1.0,0.0036924086404748237,host,192.168.1.9,0.004972439545851488,192.168.1.9,0.002246563251201923,13055,0.6,0.5985,1.0,0.007231712560800718
8,200.0,0.016091530139629658,1,109037.51896505164,360p,1,JPEG,host,192.168.1.9,0.010063730753385104,192.168.1.9,0.0029380596601046045,121506,0.55,0.24825,1.0,0.0036924086404748237,host,192.168.1.9,0.006027799386244554,192.168.1.9,0.003982910743126502,13197,0.6,0.446,1.0,0.007231712560800718
9,225.0,0.015879090015704814,1,109037.51896505164,360p,1,JPEG,host,192.168.1.9,0.009954461684593787,192.168.1.9,0.0028907060623168945,118636,0.55,0.24125,1.0,0.0036924086404748237,host,192.168.1.9,0.005924628331111028,192.168.1.9,0.002375208414517916,11627,0.6,0.518,1.0,0.007231712560800718
10,250.0,0.016460253642155573,1,87764.67363547937,360p,1,JPEG,host,192.168.1.9,0.010019733355595516,192.168.1.9,0.002911219230064979,126223,0.55,0.24925,1.0,0.0036924086404748237,host,192.168.1.9,0.006440520286560059,192.168.1.9,0.0026349379466130175,16601,0.6,0.44725000000000004,1.0,0.007231712560800718
11,275.0,0.017474504617544323,1,87764.67363547937,360p,1,JPEG,host,192.168.1.9,0.010006528634291429,192.168.1.9,0.0028716417459341195,122702,0.55,0.24975000000000003,1.0,0.0036924086404748237,host,192.168.1.9,0.007467975983252892,192.168.1.9,0.002528062233558068,15433,0.6,0.48875,1.0,0.007231712560800718
12,300.0,0.016620287528404824,1,87764.67363547937,360p,1,JPEG,host,192.168.1.9,0.009982943534851074,192.168.1.9,0.0028676069699800927,119917,0.55,0.25,1.0,0.0036924086404748237,host,192.168.1.9,0.006637343993553748,192.168.1.9,0.0026487937340369597,12995,0.6,0.46275,1.0,0.007231712560800718
13,325.0,0.014799833297729492,1,107512.24159865442,360p,1,JPEG,host,192.168.1.9,0.010045693470881535,192.168.1.9,0.0029126130617581885,121145,0.6,0.24850000000000003,1.0,0.0036924086404748237,host,192.168.1.9,0.0047541398268479565,192.168.1.9,0.0023103035413301913,12988,0.55,0.5855,1.0,0.007231712560800718
14,350.0,0.016308032549344577,1,107512.24159865442,360p,1,JPEG,host,192.168.1.9,0.010004080258882962,192.168.1.9,0.0027931745235736556,120608,0.6,0.25925,1.0,0.0036924086404748237,host,192.168.1.9,0.006303952290461614,192.168.1.9,0.0023057919282179614,13619,0.55,0.502,1.0,0.007231712560800718
15,375.0,0.015192224429203913,1,107512.24159865442,360p,1,JPEG,host,192.168.1.9,0.009970481579120342,192.168.1.9,0.0030403687403752263,124079,0.6,0.2505,1.0,0.0036924086404748237,host,192.168.1.9,0.005221742850083571,192.168.1.9,0.0022989052992600668,16465,0.55,0.5515,1.0,0.0072322096540479545
16,400.0,0.014721430264986478,1,105489.1714174497,360p,1,JPEG,host,192.168.1.9,0.010003429192763109,192.168.1.9,0.002896437278160682,122464,0.6,0.24975000000000003,1.0,0.0036929057337220603,host,192.168.1.9,0.00471800107222337,192.168.1.9,0.0023467632440420296,15436,0.55,0.5902499999999999,1.0,0.0072322096540479545
17,425.0,0.015207813336299017,1,105489.1714174497,360p,1,JPEG,host,192.168.1.9,0.010028701562147874,192.168.1.9,0.0029783890797541682,118010,0.6,0.249,1.0,0.0036929057337220603,host,192.168.1.9,0.005179111774151142,192.168.1.9,0.002359445278461163,11061,0.55,0.57475,1.0,0.0072322096540479545
18,450.0,0.014857255495511569,1,105489.1714174497,360p,1,JPEG,host,192.168.1.9,0.009993296403151292,192.168.1.9,0.002830010194044847,120983,0.6,0.25,1.0,0.0036929057337220603,host,192.168.1.9,0.004863959092360277,192.168.1.9,0.0024012418893667366,13017,0.55,0.59225,1.0,0.0072322096540479545
