n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25,0.034618231,1,40334.16895,540p,1,JPEG,host,192.168.1.9,0.029838076,192.168.1.9,0.002612086,255237,1,0.25125,1,0.005012688,host,192.168.1.9,0.004780155,192.168.1.9,0.002438885,25205,1,0.6425,1,0.007183992
2,50,0.038606992,1,40334.16895,540p,1,JPEG,host,192.168.1.9,0.030566307,192.168.1.9,0.004018307,257831,1,0.242,1,0.005699671,host,192.168.1.9,0.008040685,192.168.1.9,0.002409293,23914,1,0.39425,1,0.007217297
3,75,0.03364287,1,45084.78292,540p,1,JPEG,host,192.168.1.9,0.029240691,192.168.1.9,0.003753644,257225,1,0.2465,1,0.005699671,host,192.168.1.9,0.004402179,192.168.1.9,0.00250544,24447,1,0.65425,1,0.007292855
4,100,0.035540902,1,45084.78292,540p,1,JPEG,host,192.168.1.9,0.029272098,192.168.1.9,0.003862757,257616,1,0.2495,1,0.005699671,host,192.168.1.9,0.006268804,192.168.1.9,0.002639422,26437,1,0.49025,1,0.007292855
5,125,0.03414188,1,37375.11301,540p,1,JPEG,host,192.168.1.9,0.029450701,192.168.1.9,0.003755478,258472,1,0.25125,1,0.005699671,host,192.168.1.9,0.004691179,192.168.1.9,0.00237563,22942,1,0.532,1,0.007292855
6,150,0.03454665,1,37375.11301,540p,1,JPEG,host,192.168.1.9,0.029606287,192.168.1.9,0.004513786,257234,1,0.24675,1,0.005699671,host,192.168.1.9,0.004940363,192.168.1.9,0.002440398,26010,1,0.6025,1,0.007292855
7,175,0.033785848,1,58063.09174,540p,1,JPEG,host,192.168.1.9,0.029335572,192.168.1.9,0.003815348,255989,1,0.25225,1,0.005699671,host,192.168.1.9,0.004450275,192.168.1.9,0.002315824,23620,1,0.647,1,0.007292855
8,200,0.030354307,1,58063.09174,540p,1,JPEG,host,192.168.1.9,0.029555266,192.168.1.9,0.003813624,258307,1,0.2505,1,0.005699671,cloud,114.212.81.11,0.000799042,114.212.81.11,0.003893137,24741,1,0.577333333,1,0.000238578
9,225,0.02956417,1,30780.32112,540p,1,JPEG,host,192.168.1.9,0.029240287,192.168.1.9,0.004063973,258288,1,0.2465,1,0.005699671,cloud,114.212.81.11,0.000323882,114.212.81.11,0.002762712,26440,1,0.710041667,1,0.000244234
10,250,0.029527921,1,30780.32112,540p,1,JPEG,host,192.168.1.9,0.029240553,192.168.1.9,0.003865288,257169,1,0.24975,1,0.005699671,cloud,114.212.81.11,0.000287368,114.212.81.11,0.002542817,22456,1,0.768354167,1,0.000244613
