n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.004659405121436486,1,85607.20891835424,360p,1,JPEG,cloud,114.212.81.11,0.003903618225684533,114.212.81.11,0.0014799924997182991,1.0,0.034854166666666665,1.0,9.096977648593991e-05,cloud,114.212.81.11,0.0007557868957519531,114.212.81.11,0.0023695047085101786,1.0,0.5579583333333332,1.0,0.00024109492854641746
2,50.0,0.004303455352783203,1,85607.20891835424,360p,1,JPEG,cloud,114.212.81.11,0.003988302670992338,114.212.81.11,0.0014878969926100504,1.0,0.034104166666666665,1.0,9.75965129960842e-05,cloud,114.212.81.11,0.0003151526817908654,114.212.81.11,0.0023239942697378304,1.0,0.7544375,1.0,0.0002441125957444008
3,75.0,0.005297220670259915,1,85607.20891835424,360p,1,JPEG,cloud,114.212.81.11,0.005024579855111929,114.212.81.11,0.0014848525707538314,1.0,0.030270833333333334,1.0,9.682314100062114e-05,cloud,114.212.81.11,0.00027264081514798675,114.212.81.11,0.0024078992696908805,1.0,0.7807291666666667,1.0,0.0002413678833683456
4,100.0,0.004064477407015287,1,85607.20891835424,360p,1,JPEG,cloud,114.212.81.11,0.0037653079399695764,114.212.81.11,0.0015457318379328796,1.0,0.034020833333333333,1.0,9.682314100062114e-05,cloud,114.212.81.11,0.00029916946704571065,114.212.81.11,0.0024066429871779224,1.0,0.7933541666666666,1.0,0.00024138304752511938
5,101.0,0.28059279918670654,1,92477.14414937244,810p,16,JPEG,cloud,114.212.81.11,0.277268648147583,114.212.81.11,0.058155179023742676,1.0,0.02291666666666667,1.0,0.00022383811813784943,cloud,114.212.81.11,0.003324151039123535,114.212.81.11,0.034711360931396484,1.0,0.775,1.0,0.00024138304752511938
6,102.0,0.25271689891815186,1,92477.14414937244,810p,16,JPEG,cloud,114.212.81.11,0.24912428855895996,114.212.81.11,0.04693961143493652,1.0,0.023833333333333335,1.0,0.0002658428324012356,cloud,114.212.81.11,0.0035926103591918945,114.212.81.11,0.03421127796173096,1.0,0.7477291666666667,1.0,0.000243672835197961
7,104.0,0.1836388905843099,1,92477.14414937244,810p,16,JPEG,cloud,114.212.81.11,0.1813805898030599,114.212.81.11,0.04007411003112793,1.0,0.023354166666666665,1.0,0.0002658428324012356,cloud,114.212.81.11,0.00225830078125,114.212.81.11,0.02458667755126953,1.0,0.7920625,1.0,0.000243672835197961
8,105.0,0.24935925006866455,1,79388.2048261228,810p,16,JPEG,cloud,114.212.81.11,0.24603772163391113,114.212.81.11,0.0528111457824707,1.0,0.023270833333333334,1.0,0.000223443850061731,cloud,114.212.81.11,0.003321528434753418,114.212.81.11,0.03374838829040527,1.0,0.8081041666666667,1.0,0.000243672835197961
9,107.0,0.18969980875651044,1,79388.2048261228,810p,16,JPEG,cloud,114.212.81.11,0.1870694955190023,114.212.81.11,0.03986303011576334,1.0,0.023000000000000003,1.0,0.000223443850061731,cloud,114.212.81.11,0.002630313237508138,114.212.81.11,0.023958285649617515,1.0,0.7822708333333334,1.0,0.000243672835197961
10,108.0,0.2867090702056885,1,79388.2048261228,810p,16,JPEG,cloud,114.212.81.11,0.2822021245956421,114.212.81.11,0.0539928674697876,1.0,0.023249999999999996,1.0,0.0002658428324012356,cloud,114.212.81.11,0.004506945610046387,114.212.81.11,0.035706400871276855,1.0,0.75475,1.0,0.000243672835197961
11,110.0,0.1999495029449463,1,79388.2048261228,810p,16,JPEG,cloud,114.212.81.11,0.19774723052978516,114.212.81.11,0.03609164555867514,1.0,0.023520833333333335,1.0,0.0002658428324012356,cloud,114.212.81.11,0.002202272415161133,114.212.81.11,0.022097349166870117,1.0,0.8123958333333333,1.0,0.000243672835197961
12,111.0,0.2792280912399292,1,87317.46440899231,810p,16,JPEG,cloud,114.212.81.11,0.2748829126358032,114.212.81.11,0.05003523826599121,1.0,0.023479166666666666,1.0,0.000223443850061731,cloud,114.212.81.11,0.0043451786041259766,114.212.81.11,0.03306281566619873,1.0,0.7828750000000001,1.0,0.0002436879993547348
13,113.0,0.5863919258117676,1,87317.46440899231,810p,16,JPEG,host,192.168.1.7,0.5839791297912598,192.168.1.7,0.03547112147013343,0.3,0.1655,1.0,0.007022436303714032,cloud,114.212.81.11,0.0024127960205078125,114.212.81.11,0.023534854253133137,1.0,0.7662291666666667,1.0,0.0002436879993547348
14,115.0,0.5874199867248535,1,105448.14649653895,810p,16,JPEG,host,192.168.1.7,0.5850354035695394,192.168.1.7,0.07177456219991041,0.3,0.16616666666666666,1.0,0.007045799686334161,cloud,114.212.81.11,0.0023845831553141275,114.212.81.11,0.02350823084513346,1.0,0.7174583333333334,1.0,0.0002436879993547348
15,116.0,0.8886476755142212,1,105448.14649653895,810p,16,JPEG,host,192.168.1.7,0.8849655389785767,192.168.1.7,0.06933271884918213,0.3,0.16566666666666668,1.0,0.007045799686334161,cloud,114.212.81.11,0.0036821365356445312,114.212.81.11,0.040277957916259766,1.0,0.7549791666666668,1.0,0.0002436879993547348
16,118.0,0.6023000081380208,1,80034.75747244275,810p,16,JPEG,host,192.168.1.7,0.5998808542887369,192.168.1.7,0.05236609776814782,0.3,0.162,1.0,0.007045799686334161,cloud,114.212.81.11,0.002419153849283854,114.212.81.11,0.021662155787150063,1.0,0.7636666666666666,1.0,0.0002436879993547348
17,119.0,0.9316486120223999,1,106470.06648674597,810p,16,JPEG,host,192.168.1.7,0.9280598163604736,192.168.1.7,0.07930994033813477,0.3,0.16066666666666668,1.0,0.007045799686334161,cloud,114.212.81.11,0.0035887956619262695,114.212.81.11,0.03271615505218506,1.0,0.7434791666666666,1.0,0.0002436879993547348
18,121.0,0.5902431805928547,1,106470.06648674597,810p,16,JPEG,host,192.168.1.7,0.5876862208048502,192.168.1.7,0.04573718706766772,0.3,0.16733333333333333,1.0,0.007045799686334161,cloud,114.212.81.11,0.002556959788004557,114.212.81.11,0.02376000086466471,1.0,0.7497083333333333,1.0,0.0002436879993547348
19,122.0,0.8827323913574219,1,111036.53376202112,810p,16,JPEG,host,192.168.1.7,0.8793239593505859,192.168.1.7,0.07539665699005127,0.3,0.1668333333333333,1.0,0.007045799686334161,cloud,114.212.81.11,0.0034084320068359375,114.212.81.11,0.03299212455749512,1.0,0.7831250000000001,1.0,0.0002436879993547348
20,124.0,0.6578222115834553,1,111036.53376202112,810p,16,JPEG,host,192.168.1.7,0.6101755301157633,192.168.1.7,0.05359053611755371,0.3,0.162,1.0,0.007045799686334161,host,192.168.1.7,0.047646681467692055,192.168.1.7,0.02284510930379232,0.7,0.36050000000000004,1.0,0.007172061371132304
