n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.0049003729453453646,1,78297.09798776734,360p,1,JPEG,cloud,114.212.81.11,0.004055279951829176,114.212.81.11,0.0015767445931067839,1.0,0.0414375,1.0,9.089395570207097e-05,cloud,114.212.81.11,0.0008450929935161884,114.212.81.11,0.0024160238412710335,1.0,0.6214375,1.0,0.00024141337583866697
2,50.0,0.004006706751309908,1,78297.09798776734,360p,1,JPEG,cloud,114.212.81.11,0.003713250160217285,114.212.81.11,0.0013059652768648584,1.0,0.034479166666666665,1.0,9.750552805544149e-05,cloud,114.212.81.11,0.0002934565910926232,114.212.81.11,0.0022812531544612004,1.0,0.7267916666666666,1.0,0.00024429456562568625
3,75.0,0.004028155253483699,1,78297.09798776734,360p,1,JPEG,cloud,114.212.81.11,0.0037055015563964844,114.212.81.11,0.0038726696601280803,1.0,0.0345625,1.0,9.702027503868034e-05,cloud,114.212.81.11,0.00032265369708721456,114.212.81.11,0.010740903707650991,1.0,0.8085,1.0,0.00024192895716897568
4,100.0,0.004003772368797889,1,36479.769491709594,360p,1,JPEG,cloud,114.212.81.11,0.0037351388197678784,114.212.81.11,0.02965371425335224,1.0,0.036437500000000005,1.0,9.702027503868034e-05,cloud,114.212.81.11,0.00026863354903001053,114.212.81.11,0.008721085695120005,1.0,0.7340208333333335,1.0,0.00024194412132574945
5,125.0,0.003958005171555739,1,36479.769491709594,360p,1,JPEG,cloud,114.212.81.11,0.0036699405083289514,114.212.81.11,0.0016321860826932467,1.0,0.034916666666666665,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.0002880646632267879,114.212.81.11,0.002462176176217886,1.0,0.7953541666666667,1.0,0.00024194412132574945
6,150.0,0.004126273668729342,1,36479.769491709594,360p,1,JPEG,cloud,114.212.81.11,0.003854806606586163,114.212.81.11,0.0014835687784048226,1.0,0.03735416666666667,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.00027146706214317907,114.212.81.11,0.002548034374530499,1.0,0.7858125,1.0,0.00024195928548252323
7,175.0,0.010902157196631799,1,105806.3469274314,360p,1,JPEG,host,192.168.1.7,0.010634624041043796,192.168.1.7,0.0043362103975736165,0.3,0.1565,1.0,0.0026947424932705997,cloud,114.212.81.11,0.0002675331555880033,114.212.81.11,0.002323599962087778,1.0,0.7669583333333333,1.0,0.00024195928548252323
8,200.0,0.010523713552034818,1,105806.3469274314,360p,1,JPEG,host,192.168.1.7,0.01025110024672288,192.168.1.7,0.002967935342055101,0.3,0.16866666666666666,1.0,0.0029552193548226745,cloud,114.212.81.11,0.0002726133053119366,114.212.81.11,0.0024463213407076322,1.0,0.7239583333333334,1.0,0.00024195928548252323
9,225.0,0.010434260735144982,1,105806.3469274314,360p,1,JPEG,host,192.168.1.7,0.010150560965904823,192.168.1.7,0.0029032963972825277,0.3,0.17033333333333334,1.0,0.002956710634564385,cloud,114.212.81.11,0.00028369976924015925,114.212.81.11,0.0022871585992666394,1.0,0.7507708333333333,1.0,0.00024195928548252323
10,250.0,0.01051166424384484,1,101387.51903912415,360p,1,JPEG,host,192.168.1.7,0.010227505977337178,192.168.1.7,0.002972630354074331,0.3,0.16283333333333333,1.0,0.002956710634564385,cloud,114.212.81.11,0.00028415826650766225,114.212.81.11,0.0024869900483351485,1.0,0.7771041666666667,1.0,0.00024195928548252323
11,275.0,0.010527849197387695,1,101387.51903912415,360p,1,JPEG,host,192.168.1.7,0.010247065470768856,192.168.1.7,0.0029761791229248047,0.3,0.1625,1.0,0.002956710634564385,cloud,114.212.81.11,0.00028078372661884013,114.212.81.11,0.0023165207642775318,1.0,0.7899166666666666,1.0,0.00024195928548252323
12,300.0,0.010478771649874175,1,101387.51903912415,360p,1,JPEG,host,192.168.1.7,0.010205938265873836,192.168.1.7,0.003443497877854567,0.3,0.16316666666666668,1.0,0.002956710634564385,cloud,114.212.81.11,0.00027283338400033803,114.212.81.11,0.0024268535467294543,1.0,0.7250625,1.0,0.00024195928548252323
13,325.0,0.010674128165611854,1,62852.35835718408,360p,1,JPEG,host,192.168.1.7,0.010375270476708045,192.168.1.7,0.002915198986346906,0.3,0.16666666666666666,1.0,0.002956710634564385,cloud,114.212.81.11,0.0002988576889038086,114.212.81.11,0.015552713320805475,1.0,0.7925208333333332,1.0,0.00024195928548252323
14,350.0,0.014729307248042181,1,62852.35835718408,360p,1,JPEG,host,192.168.1.7,0.010274960444523739,192.168.1.7,0.003117891458364632,0.3,0.16833333333333333,1.0,0.002956710634564385,host,192.168.1.7,0.004454346803518442,192.168.1.7,0.002577387369596041,0.7,0.5026666666666667,1.0,0.00706468922972916
15,375.0,0.018281909135671764,1,62852.35835718408,360p,1,JPEG,host,192.168.1.7,0.013688399241520809,192.168.1.7,0.004103908172020545,0.3,0.12166666666666666,1.0,0.002947762956114123,host,192.168.1.7,0.004593509894150954,192.168.1.7,0.003565164712759165,0.7,0.418,1.0,0.007245631171723348
16,400.0,0.013446541932912972,1,96457.8904246588,360p,1,JPEG,host,192.168.1.7,0.01024335164290208,192.168.1.7,0.003132728429941032,0.3,0.1688333333333333,1.0,0.002947762956114123,host,192.168.1.7,0.0032031902900108923,192.168.1.7,0.0024419656166663538,0.7,0.6191666666666666,1.0,0.007246128264970585
17,425.0,0.020043602356543906,1,96457.8904246588,360p,1,JPEG,host,192.168.1.7,0.010354830668522762,192.168.1.7,0.0032905615293062646,0.3,0.16083333333333333,1.0,0.002947762956114123,host,192.168.1.7,0.009688771688021146,192.168.1.7,0.0025969652029184196,0.7,0.22466666666666668,1.0,0.007246128264970585
18,450.0,0.01533047052530142,1,96457.8904246588,360p,1,JPEG,host,192.168.1.7,0.010449822132404033,192.168.1.7,0.003062605857849121,0.3,0.1655,1.0,0.002947762956114123,host,192.168.1.7,0.004880648392897386,192.168.1.7,0.0023349340145404516,0.7,0.4326666666666667,1.0,0.007246128264970585
19,475.0,0.01536575647500845,1,107724.4007301969,360p,1,JPEG,host,192.168.1.7,0.010222765115591196,192.168.1.7,0.003099689116844764,0.3,0.16916666666666666,1.0,0.002947762956114123,host,192.168.1.7,0.005142991359417255,192.168.1.7,0.003945790804349459,0.7,0.361,1.0,0.007246128264970585
20,500.0,0.0042521770183856665,1,107724.4007301969,360p,1,JPEG,cloud,114.212.81.11,0.003934465921842135,114.212.81.11,0.0012940443479097811,1.0,0.0325625,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.00031771109654353216,114.212.81.11,0.0025119781494140625,1.0,0.7712916666666666,1.0,0.00024197444963929707
21,525.0,0.004123412645780123,1,107724.4007301969,360p,1,JPEG,cloud,114.212.81.11,0.0038416660748995268,114.212.81.11,0.0027516621809739335,1.0,0.033354166666666664,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.00028174657088059647,114.212.81.11,0.0080870298238901,1.0,0.72825,1.0,0.00024197444963929707
22,550.0,0.00381928223830003,1,40495.94116003736,360p,1,JPEG,cloud,114.212.81.11,0.0035465405537531925,114.212.81.11,0.026886756603534404,1.0,0.036104166666666666,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.00027274168454683746,114.212.81.11,0.0065058744870699365,1.0,0.7775833333333333,1.0,0.00024197444963929707
23,575.0,0.003919711479773888,1,40495.94116003736,360p,1,JPEG,cloud,114.212.81.11,0.003632517961355356,114.212.81.11,0.0015931404553926908,1.0,0.03745833333333334,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.00028719351841853216,114.212.81.11,0.002422855450556828,1.0,0.7419583333333334,1.0,0.00024197444963929707
24,600.0,0.004139606769268329,1,40495.94116003736,360p,1,JPEG,cloud,114.212.81.11,0.0038706247623150167,114.212.81.11,0.0016859953220073995,1.0,0.03516666666666667,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.0002689820069533128,114.212.81.11,0.0024764446111825798,1.0,0.7925208333333332,1.0,0.00024197444963929707
25,625.0,0.003965542866633489,1,97570.95018416394,360p,1,JPEG,cloud,114.212.81.11,0.0036878402416522685,114.212.81.11,0.001326588483957144,1.0,0.036875,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.00027770262498121994,114.212.81.11,0.0022869201806875374,1.0,0.7670416666666667,1.0,0.00024197444963929707
26,650.0,0.03535176240480863,1,97570.95018416394,540p,1,JPEG,host,192.168.1.7,0.030339690355154183,192.168.1.7,0.004569860605093148,0.2,0.1668333333333333,1.0,0.004324711250960012,host,192.168.1.7,0.0050120720496544474,192.168.1.7,0.0023566392751840437,0.75,0.4086666666666667,1.0,0.007243642798734401
27,675.0,0.03452586210691012,1,102628.05341203857,540p,1,JPEG,host,192.168.1.7,0.03021087096287654,192.168.1.7,0.00827481196476863,0.2,0.1655,1.0,0.004990319109010064,host,192.168.1.7,0.004314991144033579,192.168.1.7,0.002372338221623347,0.75,0.4446666666666667,1.0,0.007243642798734401
28,700.0,0.03394782543182373,1,102628.05341203857,540p,1,JPEG,host,192.168.1.7,0.03003502809084379,192.168.1.7,0.0037217140197753906,0.2,0.1665,1.0,0.004998272600965852,host,192.168.1.7,0.003912797340979943,192.168.1.7,0.003661128190847543,0.75,0.47433333333333333,1.0,0.007244636985228874
29,725.0,0.035067347379831165,1,102628.05341203857,540p,1,JPEG,host,192.168.1.7,0.0301134127836961,192.168.1.7,0.004726941768939681,0.2,0.166,1.0,0.004998272600965852,host,192.168.1.7,0.004953934596135066,192.168.1.7,0.0024209297620333163,0.75,0.3746666666666667,1.0,0.007244636985228874
30,750.0,0.03354831842275766,1,54417.24202316565,540p,1,JPEG,host,192.168.1.7,0.029969407961918756,192.168.1.7,0.0038948976076566277,0.2,0.1668333333333333,1.0,0.004998272600965852,host,192.168.1.7,0.0035789104608389046,192.168.1.7,0.002388559854947604,0.75,0.5365,1.0,0.007244636985228874
31,775.0,0.03646067472604605,1,54417.24202316565,540p,1,JPEG,host,192.168.1.7,0.03016550724322979,192.168.1.7,0.003974034236027643,0.2,0.1635,1.0,0.004998272600965852,host,192.168.1.7,0.006295167482816256,192.168.1.7,0.002461158312284029,0.75,0.3255,1.0,0.007244636985228874
32,776.0,0.051804542541503906,1,104323.80776886939,360p,5,JPEG,cloud,114.212.81.11,0.0467531681060791,114.212.81.11,0.01624131202697754,1.0,0.03339583333333334,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.005051374435424805,114.212.81.11,0.031824707984924316,1.0,0.7342708333333333,1.0,0.00024197444963929707
33,780.0,0.021048212051391603,1,104323.80776886939,360p,5,JPEG,cloud,114.212.81.11,0.019460153579711915,114.212.81.11,0.006938409805297852,1.0,0.03208333333333333,1.0,9.703543919545414e-05,cloud,114.212.81.11,0.0015880584716796875,114.212.81.11,0.012247276306152343,1.0,0.75,1.0,0.00024197444963929707
