n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
104,256.0,0.3755384683609009,70.0,810p,11,JPEG,cloud,114.212.81.11,0.36924099922180176,114.212.81.11,0.07512903213500977,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,cloud,114.212.81.11,0.006297469139099121,114.212.81.11,0.0409855842590332,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
105,257.0,0.26375579833984375,70.0,810p,11,JPEG,cloud,114.212.81.11,0.25820398330688477,114.212.81.11,0.07760500907897949,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,cloud,114.212.81.11,0.005551815032958984,114.212.81.11,0.04223954677581787,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
106,258.0,0.2019902467727661,70.0,360p,30,JPEG,host,172.27.143.164,0.13275539875030518,172.27.143.164,0.061043381690979004,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,host,172.27.143.164,0.06923484802246094,172.27.143.164,0.07670533657073975,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
107,259.0,0.2983565330505371,70.0,810p,11,JPEG,cloud,114.212.81.11,0.29340553283691406,114.212.81.11,0.07226848602294922,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,cloud,114.212.81.11,0.004951000213623047,114.212.81.11,0.04918932914733887,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
108,260.0,0.33582520484924316,70.0,810p,11,JPEG,cloud,114.212.81.11,0.33033478260040283,114.212.81.11,0.0829169750213623,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,cloud,114.212.81.11,0.005490422248840332,114.212.81.11,0.04624640941619873,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
109,262.0,0.1772317091623942,70.0,810p,11,JPEG,cloud,114.212.81.11,0.17420148849487305,114.212.81.11,0.05068612098693848,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,cloud,114.212.81.11,0.0030302206675211587,114.212.81.11,0.031410137812296554,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
110,263.0,1.9922465085983276,70.0,900p,3,JPEG,host,172.27.143.164,1.9149596691131592,172.27.143.164,0.1295260190963745,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,host,172.27.143.164,0.07728683948516846,172.27.143.164,0.07041060924530029,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
111,267.0,0.7880040645599365,70.0,900p,3,JPEG,host,172.27.143.164,0.7679412364959717,172.27.143.164,0.04601721763610844,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,host,172.27.143.164,0.020062828063964845,172.27.143.164,0.013674592971801756,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
112,275.0,0.4486412737104628,70.0,900p,3,JPEG,host,172.27.143.164,0.43132996559143066,172.27.143.164,0.023286634021335184,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,host,172.27.143.164,0.01731130811903212,172.27.143.164,0.009799189037746854,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
113,284.0,0.40475735664367674,70.0,900p,3,JPEG,host,172.27.143.164,0.3902174234390259,172.27.143.164,0.0252635717391968,0,0.15,0.15075,0,0.15,0.15075,2,0.014,0.011047400326590264,2,0.014,0.011047400326590264,host,172.27.143.164,0.01453993320465088,172.27.143.164,0.007253074645996093,0,0.4,0.39375,0,0.4,0.39375,1,0.008,0.007340078888698336,1,0.008,0.007340078888698336
