n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
30,250.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4574.295342737177,0.0,0.01968251741849459,0.000876325827378493,0.010664884860698994,0.004765721467825083,0.0033755852625920214,78.9
31,275.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4420.310398642639,0.0,0.02263447871574989,0.000725553585932805,0.013467715336726263,0.004783043494591346,0.0036581662984994743,78.9
32,276.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4357.263327483421,0.0,0.2651575803756714,0.010181307792663574,0.14838075637817383,0.05997157096862793,0.046623945236206055,78.9
33,277.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4442.198077787047,0.0,0.2590521574020386,0.008545875549316406,0.14720356464385986,0.05920970439910889,0.04409301280975342,78.9
34,278.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4426.014102783387,0.0,0.25264453887939453,0.008795022964477539,0.13721013069152832,0.059308648109436035,0.04733073711395264,78.9
35,279.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4439.365238882335,0.0,0.24331748485565186,0.008897066116333008,0.13178062438964844,0.06071662902832031,0.0419231653213501,78.9
36,280.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4443.75083740285,0.0,0.21911966800689697,0.008358478546142578,0.11780989170074463,0.05925548076629639,0.03369581699371338,78.9
37,282.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4374.212528124052,0.0,0.1600810686747233,0.006800492604573567,0.08464431762695312,0.0446625550587972,0.023973703384399407,78.9
38,283.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4382.065132687667,0.0,0.2107914686203003,0.007746458053588867,0.10953772068023682,0.05926227569580078,0.03424501419067383,78.9
39,284.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4398.046919768343,0.0,0.22300446033477783,0.011328577995300293,0.12041544914245605,0.059076547622680664,0.03218388557434082,79.0
40,285.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,1080p,7.0,4423.149795405966,0.0,0.22734951972961426,0.009443163871765137,0.12047994136810303,0.06179177761077881,0.035634636878967285,79.0
41,287.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,4368.998915858932,0.0,0.24247288703918457,0.03406985600789388,0.06853246688842773,0.11899058024088542,0.020879983901977525,79.0
42,288.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,360.3709362008459,0.0,0.2655450105667114,0.024514198303222656,0.01912534236907959,0.19227612018585205,0.02962934970855713,79.0
43,289.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,365.8288182798632,0.0,0.23974275588989258,0.022885441780090332,0.018486618995666504,0.16951239109039307,0.028858304023742676,79.0
44,290.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,368.0763955902117,0.0,0.2565850019454956,0.023287177085876465,0.018900156021118164,0.18509304523468018,0.0293046236038208,79.0
45,291.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,368.5520877952305,0.0,0.24799704551696777,0.02141702175140381,0.019075512886047363,0.1763594150543213,0.031145095825195312,79.0
46,292.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,376.26580140024555,0.0,0.2552189826965332,0.022062301635742188,0.01870095729827881,0.18603110313415527,0.028424620628356934,79.0
47,293.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,378.0222853401418,0.0,0.248205304145813,0.021275639533996582,0.018785476684570312,0.17776548862457275,0.03037869930267334,79.0
48,294.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,376.41914273763126,0.0,0.25839173793792725,0.021627426147460938,0.019276022911071777,0.1873180866241455,0.030170202255249023,79.0
49,295.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,369.3543569402287,0.0,0.24539506435394287,0.02227938175201416,0.018781065940856934,0.1748645305633545,0.029470086097717285,79.0
50,296.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,368.9930880726897,0.0,0.25150322914123535,0.025917530059814453,0.019898295402526855,0.17630064487457275,0.02938675880432129,79.0
51,297.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,364.46119024001695,0.0,0.27123355865478516,0.022097468376159668,0.01832437515258789,0.2027074098587036,0.028104305267333984,79.0
52,298.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,364.39309558113536,0.0,0.24367499351501465,0.019531726837158203,0.019368410110473633,0.17499542236328125,0.029779434204101562,79.0
53,299.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,368.3390399195778,0.0,0.3560096025466919,0.02164781093597412,0.03469705581665039,0.2617199420928955,0.037944793701171875,79.0
54,300.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,367.1148629327072,0.0,0.24558770656585693,0.021414995193481445,0.019571661949157715,0.17556345462799072,0.02903759479522705,79.0
55,301.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,364.06375076143223,0.0,0.2497258186340332,0.026356101036071777,0.020820975303649902,0.17447030544281006,0.028078436851501465,79.0
56,302.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,356.55772862967984,0.0,0.25173985958099365,0.020537495613098145,0.01988697052001953,0.18324005603790283,0.028075337409973145,79.0
57,303.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,355.81689715979155,0.0,0.2444155216217041,0.020523786544799805,0.018883705139160156,0.17702627182006836,0.02798175811767578,79.0
58,304.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,353.9511770470999,0.0,0.2626771926879883,0.022830605506896973,0.018397212028503418,0.1920914649963379,0.02935791015625,79.0
59,305.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,359.2477934101397,0.0,0.24359023571014404,0.0206986665725708,0.019632935523986816,0.17353510856628418,0.029723525047302246,79.0
