n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,3.272339701652527,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.7637256383895874,114.212.81.11,0.1787891387939453,0,1.0,0.022375000000000003,0,1.0,0.022375000000000003,0,1.0,0.00943237846811658,0,1.0,0.00943237846811658,host,172.27.151.145,2.2453614473342896,172.27.151.145,0.08446347713470459,0,1.0,0.24600000000000002,0,1.0,0.24600000000000002,2,0.25,0.29244617706712417,2,0.25,0.29244617706712417
2,2.0,0.4345569610595703,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.010208368301391602,114.212.81.11,0.16749966144561768,0,1.0,0.09152083333333333,0,1.0,0.09152083333333333,0,1.0,0.009496644164523883,0,1.0,0.009496644164523883,host,172.27.151.145,0.1856529712677002,172.27.151.145,0.07119596004486084,0,1.0,0.276,0,1.0,0.276,2,0.25,0.2923656644502504,2,0.25,0.2923656644502504
3,3.0,0.4408954381942749,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.009999394416809082,114.212.81.11,0.16326594352722168,0,1.0,0.10366666666666667,0,1.0,0.10366666666666667,0,1.0,0.009496932283502586,0,1.0,0.009496932283502586,host,172.27.151.145,0.19502639770507812,172.27.151.145,0.07260370254516602,0,1.0,0.28175,0,1.0,0.28175,2,0.25,0.2924153635964688,2,0.25,0.2924153635964688
4,4.0,0.40224123001098633,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.009906649589538574,114.212.81.11,0.14521098136901855,0,1.0,0.09431250000000001,0,1.0,0.09431250000000001,0,1.0,0.009497038432600002,0,1.0,0.009497038432600002,host,172.27.151.145,0.17609107494354248,172.27.151.145,0.07103252410888672,0,1.0,0.27649999999999997,0,1.0,0.27649999999999997,2,0.25,0.29242182448547716,2,0.25,0.29242182448547716
5,5.0,0.4169062376022339,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.009777426719665527,114.212.81.11,0.1631031036376953,0,1.0,0.09545833333333333,0,1.0,0.09545833333333333,0,1.0,0.009497083925070322,0,1.0,0.009497083925070322,host,172.27.151.145,0.17139196395874023,172.27.151.145,0.07263374328613281,0,1.0,0.284,0,1.0,0.284,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
6,6.0,0.4167790412902832,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.010216832160949707,114.212.81.11,0.16488492488861084,0,1.0,0.10141666666666667,0,1.0,0.10141666666666667,0,1.0,0.009497129417540644,0,1.0,0.009497129417540644,host,172.27.151.145,0.16998374462127686,172.27.151.145,0.0716935396194458,0,1.0,0.27899999999999997,0,1.0,0.27899999999999997,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
7,7.0,0.42141449451446533,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.009756684303283691,114.212.81.11,0.16355276107788086,0,1.0,0.10141666666666667,0,1.0,0.10141666666666667,0,1.0,0.009497129417540644,0,1.0,0.009497129417540644,host,172.27.151.145,0.17626726627349854,172.27.151.145,0.07183778285980225,0,1.0,0.27899999999999997,0,1.0,0.27899999999999997,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
8,8.0,0.46955037117004395,54.6,1080p,30,JPEG,cloud,114.212.81.11,0.009922027587890625,114.212.81.11,0.1799314022064209,0,1.0,0.09379166666666666,0,1.0,0.09379166666666666,0,1.0,0.009497144581697418,0,1.0,0.009497144581697418,host,172.27.151.145,0.20511960983276367,172.27.151.145,0.07457733154296875,0,1.0,0.27399999999999997,0,1.0,0.27399999999999997,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
9,9.0,0.4543503522872925,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.010533332824707031,114.212.81.11,0.18189406394958496,0,1.0,0.07870833333333334,0,1.0,0.07870833333333334,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.1873006820678711,172.27.151.145,0.0746222734451294,0,1.0,0.28,0,1.0,0.28,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
10,10.0,0.41428911685943604,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.008474469184875488,114.212.81.11,0.1491847038269043,0,1.0,0.1101875,0,1.0,0.1101875,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.18526136875152588,172.27.151.145,0.07136857509613037,0,1.0,0.28325,0,1.0,0.28325,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
11,11.0,0.4464879035949707,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.010033607482910156,114.212.81.11,0.1706845760345459,0,1.0,0.08277083333333334,0,1.0,0.08277083333333334,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.19424927234649658,172.27.151.145,0.07152044773101807,0,1.0,0.27025,0,1.0,0.27025,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
12,12.0,0.4124394655227661,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.00992429256439209,114.212.81.11,0.151391863822937,0,1.0,0.10458333333333332,0,1.0,0.10458333333333332,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.18107867240905762,172.27.151.145,0.0700446367263794,0,1.0,0.26899999999999996,0,1.0,0.26899999999999996,2,0.25,0.2924228184684015,2,0.25,0.2924228184684015
13,13.0,0.4113624095916748,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.009997844696044922,114.212.81.11,0.1539921760559082,0,1.0,0.08295833333333333,0,1.0,0.08295833333333333,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.17482340335845947,172.27.151.145,0.07254898548126221,0,1.0,0.2785,0,1.0,0.2785,2,0.25,0.2924233154598637,2,0.25,0.2924233154598637
14,14.0,0.418399453163147,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.010473132133483887,114.212.81.11,0.16413462162017822,0,1.0,0.07927083333333333,0,1.0,0.07927083333333333,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.17400479316711426,172.27.151.145,0.0697869062423706,0,1.0,0.27975,0,1.0,0.27975,2,0.25,0.2924243094427881,2,0.25,0.2924243094427881
15,15.0,0.4234588146209717,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.010603189468383789,114.212.81.11,0.16732287406921387,0,1.0,0.08797916666666666,0,1.0,0.08797916666666666,0,1.0,0.009497190074167739,0,1.0,0.009497190074167739,host,172.27.151.145,0.17386269569396973,172.27.151.145,0.0716700553894043,0,1.0,0.28,0,1.0,0.28,2,0.25,0.2924243094427881,2,0.25,0.2924243094427881
16,16.0,0.41135215759277344,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.010212898254394531,114.212.81.11,0.15488648414611816,0,1.0,0.07083333333333333,0,1.0,0.07083333333333333,0,1.0,0.00949723556663806,0,1.0,0.00949723556663806,host,172.27.151.145,0.17360591888427734,172.27.151.145,0.0726468563079834,0,1.0,0.2805,0,1.0,0.2805,2,0.25,0.2924243094427881,2,0.25,0.2924243094427881
17,17.0,0.4138394594192505,83.6,1080p,30,JPEG,cloud,114.212.81.11,0.010006308555603027,114.212.81.11,0.15010809898376465,0,1.0,0.093375,0,1.0,0.093375,0,1.0,0.009497281059108381,0,1.0,0.009497281059108381,host,172.27.151.145,0.18058180809020996,172.27.151.145,0.07314324378967285,0,1.0,0.28350000000000003,0,1.0,0.28350000000000003,2,0.25,0.2924243094427881,2,0.25,0.2924243094427881
