n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
1,5.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,648.7158583701863,1,0.6184669733047485,0.2544568379720052,0.017747044563293457,0.33391253153483075,0.01235055923461914,61.6
2,10.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,636.4395988486441,1,0.0551454226175944,0.004289944966634114,0.014464656511942547,0.01956053574879964,0.016830285390218098,61.6
3,15.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,635.3381170303286,1,0.058241804440816246,0.0041397809982299805,0.014171719551086426,0.024680097897847492,0.015250205993652347,61.6
4,20.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,644.6776050322557,1,0.05189239978790283,0.003764073053995768,0.01443795363108317,0.02046326796213786,0.013227105140686032,61.6
5,25.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,656.493432236802,1,0.04929554462432861,0.003160397211710612,0.013952175776163736,0.019930680592854817,0.012252291043599445,61.6
6,30.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,639.3709085644763,0.0,0.8886477549870809,0.3775355815887451,0.009940862655639648,0.4910079638163249,0.010163346926371275,61.6
7,31.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,635.3673655594133,0.0,0.2543832063674927,0.02434086799621582,0.02706468105316162,0.1732550859451294,0.02972257137298584,61.6
8,32.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,636.5085770388499,0.0,0.25196945667266846,0.021238088607788086,0.02669990062713623,0.1745617389678955,0.029469728469848633,61.6
9,33.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,636.4735898897052,0.0,0.2651139497756958,0.021933317184448242,0.025281548500061035,0.18861174583435059,0.029287338256835938,61.6
10,34.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,630.8555321235659,0.0,0.25202977657318115,0.021216273307800293,0.02631998062133789,0.17473936080932617,0.029754161834716797,61.6
11,35.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,623.1703355488634,0.0,0.3295600414276123,0.021354317665100098,0.02672898769378662,0.24255430698394775,0.03892242908477783,61.6
12,36.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1912.10672672206,0.0,0.29302477836608887,0.021529555320739746,0.058156728744506836,0.18397092819213867,0.029367566108703613,61.6
13,37.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1920.984409287971,0.0,0.2743269205093384,0.02113652229309082,0.05354785919189453,0.16871428489685059,0.03092825412750244,61.6
14,38.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,2010.2013019222734,0.0,0.2843984365463257,0.024091601371765137,0.05375170707702637,0.17663919925689697,0.029915928840637207,61.6
15,39.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1964.2563501856223,0.0,0.27276647090911865,0.0219419002532959,0.05041348934173584,0.1713188886642456,0.02909219264984131,61.6
16,40.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,1979.9999200276964,0.0,0.2855013608932495,0.022705793380737305,0.05618429183959961,0.17564260959625244,0.030968666076660156,61.6
17,41.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4607.757939757081,0.0,0.4167991876602173,0.027497172355651855,0.11299216747283936,0.2205113172531128,0.05579853057861328,79.0
18,43.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4499.353299888915,0.0,0.222944180170695,0.01397999127705892,0.06235416730244955,0.12477636337280273,0.02183365821838379,79.0
19,45.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4447.2158795339055,0.0,0.22016008694966632,0.014287312825520834,0.06172585487365722,0.1228797435760498,0.021267175674438477,79.0
20,48.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4491.84175456119,0.0,0.1688479781150818,0.010957121849060059,0.047954440116882324,0.09424585103988647,0.01569056510925293,79.0
21,50.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,480p,7.0,4380.683612633364,0.0,0.1641264756520589,0.009093999862670898,0.08890708287556966,0.040586392084757485,0.025539000829060875,79.0
22,51.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,480p,7.0,647.7866511515874,0.0,0.15826821327209473,0.011432170867919922,0.042795538902282715,0.06891942024230957,0.03512108325958252,79.0
23,52.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,480p,7.0,636.4395988486441,0.0,0.1586397886276245,0.0207979679107666,0.04075157642364502,0.06380891799926758,0.03328132629394531,79.0
24,53.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,480p,7.0,630.9094817520818,0.0,0.13724422454833984,0.011980295181274414,0.034185171127319336,0.05778098106384277,0.03329777717590332,79.0
25,54.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,480p,7.0,631.0566521519712,0.0,0.14356839656829834,0.011563539505004883,0.04143631458282471,0.05995440483093262,0.030614137649536133,79.0
26,55.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,631.2012666809939,0.0,0.14787828922271729,0.012581110000610352,0.0321657657623291,0.07024836540222168,0.03288304805755615,79.0
27,56.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,360.2696677436387,0.0,0.1304936408996582,0.010533452033996582,0.026288390159606934,0.0594097375869751,0.03426206111907959,79.0
28,57.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,355.43759715331754,0.0,0.1414046287536621,0.010787248611450195,0.031023144721984863,0.06740462779998779,0.03218960762023926,79.0
29,58.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,355.4243060437272,0.0,0.1355297565460205,0.010754942893981934,0.03283035755157471,0.06030535697937012,0.03163909912109375,79.0
30,59.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,360.96953388392495,0.0,0.13034844398498535,0.010763764381408691,0.027565479278564453,0.059856414794921875,0.03216278553009033,79.0
31,60.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,369.02076407097877,0.0,0.3002222776412964,0.01074838638305664,0.029517173767089844,0.2433692216873169,0.016587495803833008,79.0
32,61.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,366.60073905413657,0.0,0.2830028533935547,0.024031400680541992,0.027570366859436035,0.20118987560272217,0.030211210250854492,79.0
33,65.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,364.0178059011024,0.0,0.09731230735778809,0.009336328506469727,0.007428836822509765,0.06839375495910645,0.012153387069702148,79.0
34,70.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,364.9229142397359,0.0,0.08309698104858398,0.007300376892089844,0.006557385126749674,0.05921006202697754,0.010029157002766922,79.0
35,75.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,363.38516937738416,0.0,0.08465500672658284,0.006763617197672526,0.006257494290669759,0.06191845734914144,0.009715437889099114,79.0
36,80.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,368.0949746980997,0.0,0.06167403856913249,0.003607590993245443,0.010847687721252441,0.03474736213684082,0.012471397717793785,79.0
37,81.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,368.51419427018016,0.0,0.13125169277191162,0.010672211647033691,0.029154658317565918,0.05957651138305664,0.03184831142425537,79.0
38,100.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,355.4243060437272,0.0,0.013282537460327148,0.0010699629783630371,0.0029777884483337402,0.005978429317474365,0.003256356716156006,79.0
39,125.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,378.0067847714568,0.0,0.0099334533397968,0.0005613473745492789,0.0022529088533841646,0.0047031824405376725,0.0024160146713256836,79.0
40,150.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,360.9762131235496,0.0,0.012563457855811486,0.00056456602536715,0.00200197329887977,0.007441135553213267,0.0025557829783512988,79.0
41,175.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,364.02467375390034,0.0,0.012617322114797738,0.0006547065881582407,0.0022342755244328426,0.007164221543532152,0.0025641184586745035,79.0
42,200.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4398.046919768343,0.0,0.02165326705345741,0.0006318734242365911,0.011163170521075908,0.006972395456754244,0.0028858276513906633,79.0
43,225.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4311.839521149373,0.0,0.017837900381821852,0.0006516896761380709,0.01006932442004864,0.0043041064189030575,0.002812779866732084,79.1
44,250.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4574.295342737177,0.0,0.01903249667241023,0.0006502408247727614,0.01098788701570951,0.00444941337292011,0.00294495545900785,79.1
45,275.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4420.310398642639,0.0,0.01900638983799861,0.0009124920918391301,0.01043116129361666,0.004612289942227877,0.0030504465103149414,79.1
46,300.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,4491.315857088725,0.0,0.018796104651231032,0.0007216930389404297,0.011171377622164212,0.004368433585533729,0.002534600404592661,79.1
47,325.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,635.3289508683208,0.0,0.015726786393385667,0.0007565388312706581,0.0037252902984619145,0.008714721753047062,0.0025302355106060336,79.1
48,350.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,634.8146484019069,0.0,0.016341273601238545,0.0006708273520836463,0.0038173473798311674,0.009235143661499023,0.002617955207824707,79.1
49,375.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,637.6079095127394,0.0,0.012083383706899788,0.0008779764175415039,0.003664759489206167,0.005084468768193171,0.002456179031958947,79.1
50,400.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,653.096389777526,0.0,0.011400314477773812,0.0008639005514291617,0.003345572031461275,0.004659606860234187,0.0025312350346491886,79.1
51,425.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,648.7158583701863,0.0,0.011084886697622445,0.001090535750755897,0.0029017466765183667,0.004775331570551946,0.002317272699796236,79.1
52,450.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1930.9188099619766,0.0,0.013602761121896597,0.0008877790891207182,0.0055211048859816324,0.004607842518733098,0.0025860346280611474,79.1
53,475.0,7,3,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1914.8449502887338,0.0,0.017782935729393594,0.0006269583335289588,0.005886453848618727,0.008702259797316331,0.0025672637499295752,79.1
54,500.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,2010.0932170340925,0.0,0.016305795082679164,0.0006747520886934721,0.006626495948204627,0.006261156155512883,0.0027433908902681796,79.1
55,525.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1937.3761467120078,0.0,0.012778190466073844,0.0006815561881432167,0.00515747987307035,0.00449824333190918,0.002440911072951097,79.1
56,550.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1922.2554774948928,0.0,0.013617698962871846,0.0007463968717134916,0.005579911745511569,0.004456015733572153,0.0028353746120746313,79.3
57,575.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1947.5737710742812,0.0,0.015807261833777793,0.0007444345034085787,0.005120075665987454,0.007293921250563402,0.0026488304138183594,79.3
58,600.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1914.1306909784075,0.0,0.013470677229074333,0.0008917038257305438,0.005039187578054575,0.004682495043827937,0.002857290781461276,79.3
59,625.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1920.7452541480973,0.0,0.014838833075303298,0.0006787593548114484,0.006444573402404785,0.004812854986924391,0.0029026453311626734,79.3
60,650.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1960.3183585540392,0.0,0.015389653352590708,0.0007148797695453351,0.005334643217233511,0.006551008958082933,0.002789121407728929,79.3
61,675.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1948.80206385644,0.0,0.018612889143136833,0.0009964246016282302,0.006586991823636569,0.00826092866750864,0.0027685440503633935,79.3
62,700.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,2000.010186582604,0.0,0.014247720058147725,0.0007766393514779898,0.005787180020258977,0.004538618601285494,0.003145282085125263,79.3
63,725.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1908.4222178343418,0.0,0.014278320165780874,0.0008287980006291316,0.005841750365037184,0.005005139570969801,0.0026026322291447567,79.3
64,750.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1911.987688260286,0.0,0.014017646129314717,0.0007153107569767878,0.005710418407733624,0.004611391287583571,0.0029805256770207332,79.3
65,775.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1945.0137159380995,0.0,0.014165694896991435,0.0006842246422400841,0.005982719934903659,0.005030127672048716,0.002468622647798978,79.3
66,800.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1945.8702632303216,0.0,0.015314166362469014,0.0006684523362379808,0.005709666472214919,0.006261302874638484,0.0026747446793776294,79.3
67,825.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,2009.27108527853,0.0,0.0196988766009991,0.0007098913192749023,0.005449634331923265,0.010759894664470967,0.002779456285329964,79.3
68,850.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1896.7167224590667,0.0,0.014215020033029411,0.0008256251995380109,0.005997593586261456,0.004670418225801908,0.0027213830214280347,79.3
69,875.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1931.1497719048389,0.0,0.017186742562514085,0.0006147072865412786,0.00603942687694843,0.008132164294903096,0.002400444104121281,79.3
70,900.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1969.7740215504475,0.0,0.012631828968341533,0.0006532027171208308,0.0051144728293785685,0.004331845503586989,0.0025323079182551457,79.2
71,925.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1959.0366529536634,0.0,0.014440408119788537,0.0007364199711726262,0.006018152603736291,0.00493015692784236,0.00275567861703726,79.2
72,926.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1945.8702632303216,0.0,0.17156636714935303,0.010035991668701172,0.06726956367492676,0.05727064609527588,0.03699016571044922,79.2
73,928.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1922.2554774948928,0.0,0.12157201766967773,0.006209214528401692,0.05239248275756836,0.03865734736124674,0.024312973022460944,79.2
74,930.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1940.5038286198728,0.0,0.11225390434265137,0.005575895309448242,0.04572502772013346,0.03833111127217611,0.022621870040893555,79.2
75,933.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1923.3651796726542,0.0,0.08966183662414551,0.006004214286804199,0.038432419300079346,0.029328107833862305,0.015897095203399658,79.2
76,935.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1908.4222178343418,0.0,0.14249602953592935,0.007843891779581705,0.04920554161071777,0.06099247932434082,0.024454116821289062,79.2
77,936.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1914.1306909784075,0.0,0.17909717559814453,0.014426112174987793,0.07527029514312744,0.05694770812988281,0.032453060150146484,79.2
78,950.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1952.4932787168905,0.0,0.0295651117960612,0.0029039700826009114,0.013506269454956057,0.008439747492472331,0.0047151247660319005,79.2
79,975.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1923.3651796726542,0.0,0.016204476356506348,0.0006901667668269231,0.006261385404146635,0.006118205877450796,0.003134718308081994,79.2
80,1000.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1951.646299411493,0.0,0.014754506257864144,0.0007683497208815354,0.006747823495131272,0.0045652664624727685,0.0026730665793785685,79.2
81,1025.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1940.2173361927937,0.0,0.014673664019658014,0.000781857050382174,0.006510771237886869,0.004775496629568247,0.002605539101820725,79.2
82,1050.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1973.7196861005255,0.0,0.016550091596750114,0.0007572357471172626,0.006495879246638372,0.006720909705528846,0.002576066897465633,79.2
83,1075.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1961.5965768853202,0.0,0.01759187074807974,0.0009195437798133263,0.006927783672626202,0.006528927729679988,0.003215615565960224,79.2
84,1100.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1934.7475300326478,0.0,0.014167061218848595,0.0007091393837561974,0.005955118399399978,0.004624632688669058,0.0028781707470233626,79.2
85,1125.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1960.4169968040992,0.0,0.016408379261310287,0.0009266596574049729,0.007660920803363507,0.00512555012336144,0.0026952486771803646,79.2
86,1150.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1927.9605937369633,0.0,0.013341656097998986,0.000706635988675631,0.005776121066166805,0.004511026235727163,0.0023478728074293872,79.2
87,1175.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,2007.3703094931386,0.0,0.015348351918734036,0.0007569606487567609,0.005083331694969764,0.006572209871732271,0.00293584970327524,79.5
88,1200.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1943.075954523237,0.0,0.013430393659151517,0.000741894428546612,0.0051019558539757365,0.0047237139481764575,0.0028628294284527116,79.5
89,1225.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1925.9547874247987,0.0,0.015813790834867038,0.0009009838104248047,0.0069752656496488135,0.004987258177537184,0.0029502831972562354,79.5
90,1250.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1912.8045353456732,0.0,0.015049631779010478,0.0007567222301776593,0.006073896701519306,0.005612712640028734,0.0026063002072847802,79.5
91,1275.0,7,3,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1922.852324606618,0.0,0.030292465136601374,0.00402520253108098,0.005552988785963792,0.015726612164424017,0.0049876616551325845,79.5
92,1276.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1928.2449300139144,0.0,0.31095337867736816,0.02353668212890625,0.050662875175476074,0.20703721046447754,0.0297166109085083,79.5
93,1277.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1940.2954116610013,0.0,0.2740442752838135,0.021822571754455566,0.04831385612487793,0.1750352382659912,0.02887260913848877,79.5
94,1278.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1969.9033605962593,0.0,0.2739919424057007,0.020988821983337402,0.05306446552276611,0.17048799991607666,0.029450654983520508,79.5
95,1279.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,30,720p,7.0,1945.1372092704821,0.0,0.2885732650756836,0.021659135818481445,0.04787468910217285,0.18875181674957275,0.030287623405456543,79.5
96,1280.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,1080p,7.0,1960.5103526982878,0.0,0.14470744132995605,0.021478772163391113,0.05010080337524414,0.0585860013961792,0.014541864395141602,79.5
97,1281.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,1080p,7.0,4415.311179778971,0.0,0.22042393684387207,0.009264707565307617,0.11733317375183105,0.058318495750427246,0.03550755977630615,79.5
98,1285.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,1080p,7.0,4442.198077787047,0.0,0.09052829742431641,0.0030331134796142576,0.049116659164428714,0.025164699554443358,0.013213825225830082,79.5
99,1290.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,1080p,7.0,4374.212528124052,0.0,0.07994226614634196,0.0031456549962361655,0.04481673240661621,0.02085562547047933,0.011124253273010257,79.5
100,1295.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,1080p,7.0,4368.814518338668,0.0,0.08571060498555502,0.0027124881744384766,0.05098279317220052,0.019770264625549316,0.0122450590133667,79.5
101,1300.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,4574.295342737177,0.0,0.08309713999430339,0.003809968630472819,0.04773680369059245,0.02027451992034912,0.011275847752889,79.5
102,1301.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,2007.3703094931386,0.0,0.18985295295715332,0.00881195068359375,0.07822489738464355,0.06733739376068115,0.03547871112823486,79.5
103,1303.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1959.0366529536634,0.0,0.11837506294250488,0.007983843485514322,0.04943235715230306,0.03827746709187826,0.022681395212809242,79.5
104,1305.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1948.80206385644,0.0,0.11422602335611978,0.0072040557861328125,0.04597878456115723,0.03853178024291992,0.02251140276590983,79.5
105,1308.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,720p,7.0,1940.5038286198728,0.0,0.08759146928787231,0.0044699907302856445,0.03502154350280762,0.029706954956054688,0.018392980098724365,79.5
106,1310.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1934.7475300326478,0.0,0.1199800968170166,0.006191809972127278,0.04604117075602213,0.04128344853719076,0.02646366755167643,79.5
107,1311.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1923.3651796726542,0.0,0.18035554885864258,0.011923789978027344,0.07361102104187012,0.059638381004333496,0.03518235683441162,79.5
108,1325.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1977.934845634603,0.0,0.026367791493733722,0.0013279914855957031,0.009783029556274414,0.0102784792582194,0.004978291193644206,79.5
109,1350.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1940.5038286198728,0.0,0.014541754355797399,0.0009176272612351638,0.00541996955871582,0.005714618242703951,0.002489539293142465,79.5
