n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
1,25.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,367.5583719669043,1,0.15345480808844936,0.06091613035935622,0.0077631198442899355,0.08211725491743821,0.002658302967364981,45.8
2,50.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,356.535366909566,1,0.013451631252582256,0.0007236554072453425,0.004591309107266939,0.0047269509388850285,0.0034097157991849454,45.8
3,75.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,363.35091703440827,1,0.012651186722975511,0.0008887327634371244,0.0030007087267362154,0.0065064613635723405,0.0022552838692298308,45.8
4,100.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,355.4243060437272,1,0.011672295056856597,0.0008458632689255935,0.002192864051231971,0.006361814645620493,0.0022717530910785384,45.8
5,125.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,378.0067847714568,1,0.011151295441847581,0.0006626752706674429,0.0027845639448899487,0.005055051583510179,0.0026490046427800106,45.8
6,150.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,360.9762131235496,0.0,0.010957956314086914,0.0010351951305682843,0.002620687851539025,0.004661349149850698,0.0026407241821289062,61.9
7,175.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,364.02467375390034,0.0,0.010222297448378343,0.0007229126416719877,0.002461415070753831,0.004604568848243127,0.002433400887709398,61.9
8,200.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,362.7463924251247,0.0,0.20531817582937387,0.08382467123178336,0.0015915540548471219,0.11762512647188626,0.0022768240708571225,61.9
9,225.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,355.4587573556554,0.0,0.0227661316211407,0.0020134632404033956,0.00198370676774245,0.01654060987325815,0.0022283517397367024,61.9
10,250.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,376.26580140024555,0.0,0.023409210718595065,0.0019226165918203501,0.0015733792231633111,0.017624671642596904,0.0022885432610144987,61.9
11,275.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,364.0178059011024,0.0,0.02227630065037654,0.0017830408536470854,0.0015567632821890023,0.016445407500633828,0.0024910890139066243,61.9
12,300.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,367.1148629327072,0.0,0.02142066221970778,0.0016947526198167067,0.0014343811915471002,0.016052081034733698,0.0022394473736102767,61.9
13,325.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,361.8383562903286,0.0,0.021944431158212513,0.0017033998782818134,0.0014574069243211013,0.0165788668852586,0.0022047574703509994,61.9
14,350.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,360.268201243756,0.0,0.022686380606431227,0.0016501133258526141,0.0016159185996422402,0.016963931230398323,0.0024564174505380502,79.0
15,375.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,360p,7.0,368.51419427018016,0.0,0.01814579963684082,0.0011167893042931189,0.007313379874596229,0.006213665008544922,0.003501965449406551,79.0
16,376.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,360p,7.0,376.2386517070866,0.0,0.1706758737564087,0.006822347640991211,0.052829742431640625,0.07075393199920654,0.04026985168457031,79.0
17,380.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,360p,7.0,368.9452218851906,0.0,0.06583967208862304,0.003425931930541992,0.024167203903198244,0.023586320877075195,0.01466021537780762,79.0
