n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
29,560.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,360p,7.0,360.2696677436387,0.0,0.05698657035827637,0.0030425389607747397,0.018204450607299805,0.022768616676330566,0.012970964113871254,78.3
30,565.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,360p,7.0,366.52164418078195,0.0,0.050536115964253746,0.003884434700012207,0.008943438529968262,0.02714085578918457,0.010567386945088707,78.3
31,570.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,360.9922811577479,0.0,0.0921185811360677,0.01781574885050456,0.006169120470682778,0.058771212895711265,0.009362498919169106,78.3
32,575.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,366.0815537182581,0.0,0.08488901456197104,0.007573962211608887,0.006161252657572428,0.06058243910471598,0.010571360588073737,78.3
33,580.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,366.0356090055596,0.0,0.09056564172108968,0.007428685824076335,0.006156007448832194,0.06753261884053548,0.009448329607645675,78.3
34,585.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,368.5520877952305,0.0,0.0828175147374471,0.006837526957194011,0.006230910619099935,0.06033146381378174,0.009417613347371415,78.3
35,590.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,368.9930880726897,0.0,0.09970664978027344,0.006920854250590007,0.014176925023396809,0.06772216161092122,0.010886708895365402,78.3
36,595.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,364.06375076143223,0.0,0.08068712552388509,0.006689906120300293,0.006502111752827963,0.0577849547068278,0.009710152943929039,78.3
37,600.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,352.54740908443426,0.0,0.09008908271789551,0.007295529047648112,0.006524324417114257,0.06621166070302327,0.010057568550109863,78.3
38,605.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,361.0022774432769,0.0,0.08141883214314778,0.007235964139302571,0.006366848945617677,0.058257500330607094,0.009558518727620445,78.3
