n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,1.8670443296432495,74.1,360p,30,JPEG,cloud,114.212.81.11,0.7402018308639526,114.212.81.11,0.05178248882293701,0,1.0,0.020833333333333332,0,1.0,0.020833333333333332,0,1.0,0.009405735044665037,0,1.0,0.009405735044665037,cloud,114.212.81.11,1.0145418643951416,114.212.81.11,0.06051814556121826,2,0.1,0.035312500000000004,2,0.1,0.035312500000000004,0,1.0,0.010850803364422939,0,1.0,0.010850803364422939
2,2.0,0.2729271650314331,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010246038436889648,114.212.81.11,0.060446858406066895,0,1.0,0.02027083333333333,0,1.0,0.02027083333333333,0,1.0,0.00822613045338903,0,1.0,0.00822613045338903,cloud,114.212.81.11,0.13778448104858398,114.212.81.11,0.06444978713989258,2,0.1,0.12166666666666666,2,0.1,0.12166666666666666,0,1.0,0.01085097017014745,0,1.0,0.01085097017014745
3,3.0,0.28946590423583984,74.1,360p,30,JPEG,cloud,114.212.81.11,0.008795499801635742,114.212.81.11,0.061644792556762695,0,1.0,0.023520833333333335,0,1.0,0.023520833333333335,0,1.0,0.008226160781702577,0,1.0,0.008226160781702577,cloud,114.212.81.11,0.1579599380493164,114.212.81.11,0.061065673828125,2,0.1,0.10875,2,0.1,0.10875,0,1.0,0.010851743542142913,0,1.0,0.010851743542142913
4,4.0,0.2589462995529175,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010315299034118652,114.212.81.11,0.058341026306152344,0,1.0,0.020083333333333335,0,1.0,0.020083333333333335,0,1.0,0.008226160781702577,0,1.0,0.008226160781702577,cloud,114.212.81.11,0.1253441572189331,114.212.81.11,0.06494581699371338,2,0.1,0.13620833333333332,2,0.1,0.13620833333333332,0,1.0,0.010851758706299685,0,1.0,0.010851758706299685
5,5.0,0.27338647842407227,74.1,360p,30,JPEG,cloud,114.212.81.11,0.008078932762145996,114.212.81.11,0.053450822830200195,0,1.0,0.0256875,0,1.0,0.0256875,0,1.0,0.008226160781702577,0,1.0,0.008226160781702577,cloud,114.212.81.11,0.13498079776763916,114.212.81.11,0.07687592506408691,2,0.1,0.13191666666666668,2,0.1,0.13191666666666668,0,1.0,0.010851758706299685,0,1.0,0.010851758706299685
6,6.0,0.2847329378128052,74.1,360p,30,JPEG,cloud,114.212.81.11,0.007809758186340332,114.212.81.11,0.06096374988555908,0,1.0,0.013270833333333334,0,1.0,0.013270833333333334,0,1.0,0.008226160781702577,0,1.0,0.008226160781702577,cloud,114.212.81.11,0.13056504726409912,114.212.81.11,0.08539438247680664,2,0.1,0.12762500000000002,2,0.1,0.12762500000000002,0,1.0,0.010851758706299685,0,1.0,0.010851758706299685
7,7.0,0.28440403938293457,74.1,360p,30,JPEG,cloud,114.212.81.11,0.007694721221923828,114.212.81.11,0.05858969688415527,0,1.0,0.026979166666666665,0,1.0,0.026979166666666665,0,1.0,0.008226160781702577,0,1.0,0.008226160781702577,cloud,114.212.81.11,0.13849127292633057,114.212.81.11,0.0796283483505249,2,0.1,0.1270625,2,0.1,0.1270625,0,1.0,0.01085177387045646,0,1.0,0.01085177387045646
8,8.0,0.2704051733016968,74.1,360p,30,JPEG,cloud,114.212.81.11,0.011005640029907227,114.212.81.11,0.06920921802520752,0,1.0,0.018833333333333334,0,1.0,0.018833333333333334,0,1.0,0.008226160781702577,0,1.0,0.008226160781702577,cloud,114.212.81.11,0.12159514427185059,114.212.81.11,0.06859517097473145,2,0.1,0.13697916666666668,2,0.1,0.13697916666666668,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
9,9.0,0.29557907581329346,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010729670524597168,114.212.81.11,0.057839393615722656,0,1.0,0.0193125,0,1.0,0.0193125,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.16065144538879395,114.212.81.11,0.06635856628417969,2,0.1,0.1030625,2,0.1,0.1030625,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
10,10.0,0.24403536319732666,74.1,360p,30,JPEG,cloud,114.212.81.11,0.00768125057220459,114.212.81.11,0.05575668811798096,0,1.0,0.027,0,1.0,0.027,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.11809313297271729,114.212.81.11,0.06250429153442383,2,0.1,0.133125,2,0.1,0.133125,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
11,11.0,0.19041657447814941,74.1,360p,30,JPEG,cloud,114.212.81.11,0.011357903480529785,114.212.81.11,0.05893731117248535,0,1.0,0.01825,0,1.0,0.01825,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.06298065185546875,114.212.81.11,0.05714070796966553,2,0.2,0.24960416666666665,2,0.2,0.24960416666666665,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
12,12.0,0.20328247547149658,74.1,360p,30,JPEG,cloud,114.212.81.11,0.00970470905303955,114.212.81.11,0.05528664588928223,0,1.0,0.021395833333333336,0,1.0,0.021395833333333336,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.07332515716552734,114.212.81.11,0.06496596336364746,2,0.2,0.21291666666666667,2,0.2,0.21291666666666667,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
13,13.0,0.18830835819244385,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010632157325744629,114.212.81.11,0.05974376201629639,0,1.0,0.01947916666666667,0,1.0,0.01947916666666667,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.05991554260253906,114.212.81.11,0.05801689624786377,2,0.2,0.26397916666666665,2,0.2,0.26397916666666665,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
14,14.0,0.20371389389038086,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010632157325744629,114.212.81.11,0.07592332363128662,0,1.0,0.019520833333333334,0,1.0,0.019520833333333334,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.05923902988433838,114.212.81.11,0.05791938304901123,2,0.2,0.27227083333333335,2,0.2,0.27227083333333335,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
15,15.0,0.20153915882110596,74.1,360p,30,JPEG,cloud,114.212.81.11,0.011354684829711914,114.212.81.11,0.053930044174194336,0,1.0,0.018270833333333333,0,1.0,0.018270833333333333,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.07525694370269775,114.212.81.11,0.06099748611450195,2,0.2,0.213,2,0.2,0.213,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
16,16.0,0.18470323085784912,74.1,360p,30,JPEG,cloud,114.212.81.11,0.008411049842834473,114.212.81.11,0.05684936046600342,0,1.0,0.02466666666666667,0,1.0,0.02466666666666667,0,1.0,0.00822617594585935,0,1.0,0.00822617594585935,cloud,114.212.81.11,0.057854413986206055,114.212.81.11,0.061588406562805176,2,0.2,0.2662291666666667,2,0.2,0.2662291666666667,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
17,17.0,0.1934438943862915,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010131359100341797,114.212.81.11,0.05349433422088623,0,1.0,0.020458333333333332,0,1.0,0.020458333333333332,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.0687628984451294,114.212.81.11,0.06105530261993408,2,0.2,0.22699999999999998,2,0.2,0.22699999999999998,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
18,18.0,0.2049940824508667,74.1,360p,30,JPEG,cloud,114.212.81.11,0.0102006196975708,114.212.81.11,0.058530211448669434,0,1.0,0.0203125,0,1.0,0.0203125,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.07016289234161377,114.212.81.11,0.0661003589630127,2,0.2,0.23141666666666663,2,0.2,0.23141666666666663,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
19,19.0,0.1912935972213745,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010748863220214844,114.212.81.11,0.05565178394317627,0,1.0,0.019291666666666665,0,1.0,0.019291666666666665,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.06239628791809082,114.212.81.11,0.06249666213989258,2,0.2,0.26179166666666664,2,0.2,0.26179166666666664,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
20,20.0,0.19955754280090332,74.1,360p,30,JPEG,cloud,114.212.81.11,0.010789275169372559,114.212.81.11,0.05103957653045654,0,1.0,0.019208333333333334,0,1.0,0.019208333333333334,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.07089340686798096,114.212.81.11,0.06683528423309326,2,0.2,0.2203125,2,0.2,0.2203125,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
21,21.0,0.18558943271636963,74.1,360p,30,JPEG,cloud,114.212.81.11,0.011415839195251465,114.212.81.11,0.05967426300048828,0,1.0,0.018166666666666668,0,1.0,0.018166666666666668,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.057825684547424316,114.212.81.11,0.056673645973205566,2,0.3,0.26989583333333333,2,0.3,0.26989583333333333,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
22,22.0,0.1884150505065918,74.1,360p,30,JPEG,cloud,114.212.81.11,0.0097123384475708,114.212.81.11,0.05900609493255615,0,1.0,0.021354166666666664,0,1.0,0.021354166666666664,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.057308077812194824,114.212.81.11,0.06238853931427002,2,0.3,0.27789583333333334,2,0.3,0.27789583333333334,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
23,23.0,0.17173230648040771,74.3,360p,30,JPEG,cloud,114.212.81.11,0.008868098258972168,114.212.81.11,0.05199146270751953,0,1.0,0.023395833333333334,0,1.0,0.023395833333333334,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.05650508403778076,114.212.81.11,0.054367661476135254,2,0.3,0.26706250000000004,2,0.3,0.26706250000000004,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
24,24.0,0.18253707885742188,74.3,360p,30,JPEG,cloud,114.212.81.11,0.009867668151855469,114.212.81.11,0.05581676959991455,0,1.0,0.021041666666666667,0,1.0,0.021041666666666667,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.05783390998840332,114.212.81.11,0.059018731117248535,2,0.3,0.2735208333333334,2,0.3,0.2735208333333334,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
25,25.0,0.18067681789398193,74.3,360p,30,JPEG,cloud,114.212.81.11,0.011046528816223145,114.212.81.11,0.05549788475036621,0,1.0,0.021041666666666667,0,1.0,0.021041666666666667,0,1.0,0.008226191110016124,0,1.0,0.008226191110016124,cloud,114.212.81.11,0.05908310413360596,114.212.81.11,0.05504930019378662,2,0.3,0.2735208333333334,2,0.3,0.2735208333333334,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
26,26.0,0.1802734136581421,74.3,360p,30,JPEG,cloud,114.212.81.11,0.00942385196685791,114.212.81.11,0.05598413944244385,0,1.0,0.021979166666666664,0,1.0,0.021979166666666664,0,1.0,0.008226206274172898,0,1.0,0.008226206274172898,cloud,114.212.81.11,0.05511772632598877,114.212.81.11,0.05974769592285156,2,0.3,0.275625,2,0.3,0.275625,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
27,27.0,0.18837440013885498,74.3,360p,30,JPEG,cloud,114.212.81.11,0.012300372123718262,114.212.81.11,0.05092453956604004,0,1.0,0.016854166666666667,0,1.0,0.016854166666666667,0,1.0,0.008226206274172898,0,1.0,0.008226206274172898,cloud,114.212.81.11,0.06018531322479248,114.212.81.11,0.0649641752243042,2,0.3,0.25947916666666665,2,0.3,0.25947916666666665,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
28,28.0,0.188623309135437,74.3,360p,30,JPEG,cloud,114.212.81.11,0.011186599731445312,114.212.81.11,0.05324423313140869,0,1.0,0.02779166666666667,0,1.0,0.02779166666666667,0,1.0,0.008226206274172898,0,1.0,0.008226206274172898,cloud,114.212.81.11,0.06056690216064453,114.212.81.11,0.06362557411193848,2,0.3,0.2559791666666667,2,0.3,0.2559791666666667,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
29,29.0,0.1818939447402954,74.3,360p,30,JPEG,cloud,114.212.81.11,0.010090112686157227,114.212.81.11,0.057301878929138184,0,1.0,0.0205625,0,1.0,0.0205625,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,cloud,114.212.81.11,0.05317246913909912,114.212.81.11,0.06132948398590088,2,0.3,0.28002083333333333,2,0.3,0.28002083333333333,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
30,30.0,0.18257415294647217,74.3,360p,30,JPEG,cloud,114.212.81.11,0.011456012725830078,114.212.81.11,0.05400419235229492,0,1.0,0.027145833333333338,0,1.0,0.027145833333333338,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,cloud,114.212.81.11,0.056525468826293945,114.212.81.11,0.06058847904205322,2,0.3,0.2669375,2,0.3,0.2669375,0,1.0,0.010851789034613235,0,1.0,0.010851789034613235
31,31.0,5.461053490638733,74.3,360p,30,JPEG,cloud,114.212.81.11,0.009365081787109375,114.212.81.11,0.05884885787963867,0,1.0,0.022125000000000002,0,1.0,0.022125000000000002,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,5.258686900138855,172.27.151.145,0.13415265083312988,2,0.1,0.10025,2,0.1,0.10025,0,1.0,0.30984038125209046,0,1.0,0.30984038125209046
32,32.0,0.7313593626022339,74.3,360p,30,JPEG,cloud,114.212.81.11,0.010825514793395996,114.212.81.11,0.05850183963775635,0,1.0,0.019145833333333334,0,1.0,0.019145833333333334,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5332428216934204,172.27.151.145,0.12878918647766113,2,0.1,0.11,2,0.1,0.11,0,1.0,0.3098692067568971,0,1.0,0.3098692067568971
33,33.0,0.769875168800354,84.2,360p,30,JPEG,cloud,114.212.81.11,0.010897397994995117,114.212.81.11,0.057135820388793945,0,1.0,0.02854166666666667,0,1.0,0.02854166666666667,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5355712175369263,172.27.151.145,0.16627073287963867,2,0.1,0.11199999999999999,2,0.1,0.11199999999999999,0,1.0,0.3098706977312837,0,1.0,0.3098706977312837
34,34.0,0.8020846843719482,84.2,360p,30,JPEG,cloud,114.212.81.11,0.010656952857971191,114.212.81.11,0.06842803955078125,0,1.0,0.019458333333333334,0,1.0,0.019458333333333334,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5899680852890015,172.27.151.145,0.13303160667419434,2,0.1,0.10375,2,0.1,0.10375,0,1.0,0.3098711947227459,0,1.0,0.3098711947227459
35,35.0,0.7452824115753174,84.2,360p,30,JPEG,cloud,114.212.81.11,0.008583784103393555,114.212.81.11,0.062094807624816895,0,1.0,0.024145833333333335,0,1.0,0.024145833333333335,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5426552295684814,172.27.151.145,0.1319485902786255,2,0.1,0.106,2,0.1,0.106,0,1.0,0.3098711947227459,0,1.0,0.3098711947227459
36,36.0,0.7962254285812378,84.2,360p,30,JPEG,cloud,114.212.81.11,0.011486411094665527,114.212.81.11,0.06203269958496094,0,1.0,0.027083333333333334,0,1.0,0.027083333333333334,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5869221687316895,172.27.151.145,0.13578414916992188,2,0.1,0.10425000000000001,2,0.1,0.10425000000000001,0,1.0,0.30990996005679616,0,1.0,0.30990996005679616
37,37.0,0.7872496843338013,84.2,360p,30,JPEG,cloud,114.212.81.11,0.009770512580871582,114.212.81.11,0.06136143207550049,0,1.0,0.021208333333333333,0,1.0,0.021208333333333333,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5514175891876221,172.27.151.145,0.16470015048980713,2,0.1,0.10875,2,0.1,0.10875,0,1.0,0.30991045704825837,0,1.0,0.30991045704825837
38,38.0,0.9018591642379761,84.2,360p,30,JPEG,cloud,114.212.81.11,0.009472012519836426,114.212.81.11,0.058548927307128906,0,1.0,0.021875000000000002,0,1.0,0.021875000000000002,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.6641981601715088,172.27.151.145,0.16964006423950195,2,0.1,0.10525000000000001,2,0.1,0.10525000000000001,0,1.0,0.3100168132211657,0,1.0,0.3100168132211657
39,39.0,0.8524057865142822,84.2,360p,30,JPEG,cloud,114.212.81.11,0.010941028594970703,114.212.81.11,0.05758929252624512,0,1.0,0.018958333333333334,0,1.0,0.018958333333333334,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.6126644611358643,172.27.151.145,0.17121100425720215,2,0.1,0.102,2,0.1,0.102,0,1.0,0.31001731021262785,0,1.0,0.31001731021262785
40,40.0,0.8035839796066284,84.2,360p,30,JPEG,cloud,114.212.81.11,0.011301636695861816,114.212.81.11,0.06047201156616211,0,1.0,0.02752083333333333,0,1.0,0.02752083333333333,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.5939463376998901,172.27.151.145,0.13786399364471436,2,0.1,0.099,2,0.1,0.099,0,1.0,0.31001731021262785,0,1.0,0.31001731021262785
41,41.0,0.4075474739074707,84.2,360p,30,JPEG,cloud,114.212.81.11,0.008277297019958496,114.212.81.11,0.05937957763671875,0,1.0,0.0250625,0,1.0,0.0250625,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.25753700733184814,172.27.151.145,0.08235359191894531,2,0.2,0.20375,2,0.2,0.20375,0,1.0,0.31001731021262785,0,1.0,0.31001731021262785
42,42.0,0.4041922092437744,84.2,360p,30,JPEG,cloud,114.212.81.11,0.011222481727600098,114.212.81.11,0.05889928340911865,0,1.0,0.027729166666666666,0,1.0,0.027729166666666666,0,1.0,0.008226221438329672,0,1.0,0.008226221438329672,host,172.27.151.145,0.2525966167449951,172.27.151.145,0.08147382736206055,2,0.2,0.21775,2,0.2,0.21775,0,1.0,0.31001780720409006,0,1.0,0.31001780720409006
