n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,2.780089259147644,65.9,1080p,30,JPEG,cloud,114.212.81.11,0.7024872303009033,114.212.81.11,0.20306098461151123,0,1.0,0.022541666666666668,0,1.0,0.022541666666666668,0,1.0,0.009431650588591437,0,1.0,0.009431650588591437,host,172.27.151.145,1.7973304986953735,172.27.151.145,0.07721054553985596,0,1.0,0.235,0,1.0,0.235,2,0.3,0.30970172063414125,2,0.3,0.30970172063414125
2,2.0,0.5290666818618774,65.9,1080p,30,JPEG,cloud,114.212.81.11,0.009090065956115723,114.212.81.11,0.2642122507095337,0,1.0,0.07991666666666668,0,1.0,0.07991666666666668,0,1.0,0.009495370375354886,0,1.0,0.009495370375354886,host,172.27.151.145,0.1791311502456665,172.27.151.145,0.07663321495056152,0,1.0,0.27899999999999997,0,1.0,0.27899999999999997,2,0.3,0.3097061935573009,2,0.3,0.3097061935573009
3,3.0,0.45010876655578613,65.9,1080p,30,JPEG,cloud,114.212.81.11,0.008669137954711914,114.212.81.11,0.19492387771606445,0,1.0,0.09581250000000001,0,1.0,0.09581250000000001,0,1.0,0.009495658494333587,0,1.0,0.009495658494333587,host,172.27.151.145,0.17261433601379395,172.27.151.145,0.07390141487121582,0,1.0,0.275,0,1.0,0.275,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
4,4.0,0.4941723346710205,65.9,1080p,30,JPEG,cloud,114.212.81.11,0.010433793067932129,114.212.81.11,0.19919002056121826,0,1.0,0.0795625,0,1.0,0.0795625,0,1.0,0.009496568343740014,0,1.0,0.009496568343740014,host,172.27.151.145,0.20886945724487305,172.27.151.145,0.07567906379699707,0,1.0,0.26925,0,1.0,0.26925,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
5,5.0,0.4296557903289795,65.9,1080p,30,JPEG,cloud,114.212.81.11,0.009585142135620117,114.212.81.11,0.15791916847229004,0,1.0,0.08664583333333332,0,1.0,0.08664583333333332,0,1.0,0.009496613836210335,0,1.0,0.009496613836210335,host,172.27.151.145,0.18598699569702148,172.27.151.145,0.07616448402404785,0,1.0,0.27525,0,1.0,0.27525,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
6,6.0,0.4268631935119629,65.9,1080p,30,JPEG,cloud,114.212.81.11,0.00940406322479248,114.212.81.11,0.16903841495513916,0,1.0,0.09933333333333333,0,1.0,0.09933333333333333,0,1.0,0.009496659328680657,0,1.0,0.009496659328680657,host,172.27.151.145,0.1753077507019043,172.27.151.145,0.07311296463012695,0,1.0,0.27075,0,1.0,0.27075,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
7,7.0,0.462390661239624,84.7,1080p,30,JPEG,cloud,114.212.81.11,0.011032819747924805,114.212.81.11,0.16164910793304443,0,1.0,0.0845625,0,1.0,0.0845625,0,1.0,0.009496659328680657,0,1.0,0.009496659328680657,host,172.27.151.145,0.21427452564239502,172.27.151.145,0.07543420791625977,0,1.0,0.27399999999999997,0,1.0,0.27399999999999997,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
8,8.0,0.43651795387268066,84.7,1080p,30,JPEG,cloud,114.212.81.11,0.009336233139038086,114.212.81.11,0.17221105098724365,0,1.0,0.09977083333333332,0,1.0,0.09977083333333332,0,1.0,0.009496704821150979,0,1.0,0.009496704821150979,host,172.27.151.145,0.17866933345794678,172.27.151.145,0.07630133628845215,0,1.0,0.27975,0,1.0,0.27975,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
9,9.0,0.43090176582336426,84.7,1080p,30,JPEG,cloud,114.212.81.11,0.010703325271606445,114.212.81.11,0.16892659664154053,0,1.0,0.08695833333333332,0,1.0,0.08695833333333332,0,1.0,0.009496750313621299,0,1.0,0.009496750313621299,host,172.27.151.145,0.17520523071289062,172.27.151.145,0.07606661319732666,0,1.0,0.278,0,1.0,0.278,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
10,10.0,0.4118161201477051,84.7,1080p,30,JPEG,cloud,114.212.81.11,0.010138273239135742,114.212.81.11,0.15785086154937744,0,1.0,0.08177083333333333,0,1.0,0.08177083333333333,0,1.0,0.009496750313621299,0,1.0,0.009496750313621299,host,172.27.151.145,0.17039752006530762,172.27.151.145,0.07342946529388428,0,1.0,0.2785,0,1.0,0.2785,2,0.3,0.30970669054876304,2,0.3,0.30970669054876304
