n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,5.0,1.180047591527303,84.2,360p,5,JPEG,host,172.27.151.145,0.5593386093775431,172.27.151.145,0.020716547966003418,0,1.0,0.16524999999999998,0,1.0,0.16524999999999998,0,1.0,0.2781000215197303,0,1.0,0.2781000215197303,cloud,114.212.81.11,0.5778425534566244,114.212.81.11,0.022149880727132087,0,1.0,0.0403125,0,1.0,0.0403125,0,1.0,0.011450378959101648,0,1.0,0.011450378959101648
2,10.0,0.08804547786712646,84.2,360p,5,JPEG,host,172.27.151.145,0.012871464093526205,172.27.151.145,0.027001500129699707,0,1.0,0.12925,0,1.0,0.12925,0,1.0,0.27861043175139294,0,1.0,0.27861043175139294,cloud,114.212.81.11,0.025919318199157715,114.212.81.11,0.022253195444742836,0,1.0,0.29058333333333336,0,1.0,0.29058333333333336,0,1.0,0.011450636749766803,0,1.0,0.011450636749766803
3,15.0,0.09777704874674478,84.2,360p,5,JPEG,host,172.27.151.145,0.011005600293477377,172.27.151.145,0.027158935864766434,0,1.0,0.1505,0,1.0,0.1505,0,1.0,0.2786114257343173,0,1.0,0.2786114257343173,cloud,114.212.81.11,0.03994146982828776,114.212.81.11,0.01967104276021322,0,1.0,0.32156250000000003,0,1.0,0.32156250000000003,0,1.0,0.01145066707808035,0,1.0,0.01145066707808035
4,20.0,0.08351282278696695,84.2,360p,5,JPEG,host,172.27.151.145,0.008940498034159342,172.27.151.145,0.026250362396240234,0,1.0,0.23225,0,1.0,0.23225,0,1.0,0.2786059588282333,0,1.0,0.2786059588282333,cloud,114.212.81.11,0.028121272722880047,114.212.81.11,0.020200689633687336,0,1.0,0.3022916666666667,0,1.0,0.3022916666666667,0,1.0,0.01145066707808035,0,1.0,0.01145066707808035
5,25.0,0.09671727816263834,84.2,360p,5,JPEG,host,172.27.151.145,0.00730590025583903,172.27.151.145,0.02697451909383138,0,1.0,0.284,0,1.0,0.284,0,1.0,0.2786059588282333,0,1.0,0.2786059588282333,cloud,114.212.81.11,0.035697340965270996,114.212.81.11,0.026739517847696938,0,1.0,0.25172916666666667,0,1.0,0.25172916666666667,0,1.0,0.011450682242237123,0,1.0,0.011450682242237123
6,30.0,0.4693634112675985,84.2,720p,5,JPEG,cloud,114.212.81.11,0.35846110184987384,114.212.81.11,0.022285540898640988,0,1.0,0.020729166666666667,0,1.0,0.020729166666666667,0,1.0,0.00821314993519067,0,1.0,0.00821314993519067,cloud,114.212.81.11,0.06870643297831218,114.212.81.11,0.019910335540771484,0,1.0,0.2702708333333333,0,1.0,0.2702708333333333,0,1.0,0.010847345936678516,0,1.0,0.010847345936678516
7,35.0,0.08443991343180339,84.2,720p,5,JPEG,cloud,114.212.81.11,0.0033333698908487954,114.212.81.11,0.04123870531717937,0,1.0,0.08304166666666667,0,1.0,0.08304166666666667,0,1.0,0.008247390601185876,0,1.0,0.008247390601185876,cloud,114.212.81.11,0.018959522247314453,114.212.81.11,0.020908315976460777,0,1.0,0.22143750000000004,0,1.0,0.22143750000000004,0,1.0,0.010847345936678516,0,1.0,0.010847345936678516
8,40.0,0.08174697558085123,84.2,720p,5,JPEG,cloud,114.212.81.11,0.003608266512552897,114.212.81.11,0.03455968697865804,0,1.0,0.04789583333333333,0,1.0,0.04789583333333333,0,1.0,0.008250423432540633,0,1.0,0.008250423432540633,cloud,114.212.81.11,0.021548032760620117,114.212.81.11,0.02203098932902018,0,1.0,0.23183333333333334,0,1.0,0.23183333333333334,0,1.0,0.010847345936678516,0,1.0,0.010847345936678516
9,45.0,0.10706206162770589,84.2,720p,5,JPEG,cloud,114.212.81.11,0.003178079922993978,114.212.81.11,0.03979984919230143,0,1.0,0.0651875,0,1.0,0.0651875,0,1.0,0.00825052958163805,0,1.0,0.00825052958163805,cloud,114.212.81.11,0.040874481201171875,114.212.81.11,0.023209651311238602,0,1.0,0.2819375,0,1.0,0.2819375,0,1.0,0.010847345936678516,0,1.0,0.010847345936678516
10,50.0,0.11187382539113362,84.2,720p,5,JPEG,cloud,114.212.81.11,0.0028520425160725913,114.212.81.11,0.062079071998596184,0,1.0,0.07275,0,1.0,0.07275,0,1.0,0.008250575074108372,0,1.0,0.008250575074108372,cloud,114.212.81.11,0.021515250205993652,114.212.81.11,0.02542746067047119,0,1.0,0.25795833333333335,0,1.0,0.25795833333333335,0,1.0,0.010847345936678516,0,1.0,0.010847345936678516
